#{"t_start": 1745977391.6391015, "env_id": "None"}
r,l,t
11.824164,4,0.021554
-8.043898,12,0.029045
25.186145,4,0.032001
29.689255,4,0.034993
15.790614,4,0.037918
-2.298145,4,0.040944
-99.004885,100,0.097665
-0.572678,4,0.100853
-98.058301,100,0.157407
-8.243208,12,0.164789
-99.0,100,0.221913
0.821081,4,0.2248
1.589075,4,0.227749
-16.541104,21,0.240332
13.518992,6,0.244384
-91.276454,100,0.301794
1.826373,4,0.304844
1.589075,4,0.307792
-2.755293,4,0.310787
4.115702,5,0.314313
14.425798,4,0.317254
18.986588,4,0.320172
0.308197,4,0.323129
6.224647,4,0.326082
5.627403,4,0.328964
-0.124385,4,0.331819
-1.004885,4,0.334909
5.402133,4,0.337829
18.986588,4,0.340755
25.186145,4,0.343684
24.000552,4,0.346604
5.610274,4,0.349494
-1.896332,4,0.352434
-2.349976,4,0.355356
-99.0,100,0.411979
-100.0,100,0.468544
-61.088617,66,0.506256
-0.572678,4,0.509269
0.249392,4,0.51217
15.790614,4,0.520632
25.186145,4,0.523612
12.264333,6,0.527651
-1.681361,4,0.530581
0.846094,4,0.533602
-5.0,5,0.536971
43.929263,4,0.53992
47.753404,4,0.542876
-21.0,21,0.555153
1.996658,4,0.558072
-100.0,100,0.614522
17.832133,4,0.61746
1.505657,4,0.620323
28.257357,4,0.623264
6.661768,4,0.626217
24.060103,4,0.629122
-0.543938,27,0.644954
-65.36093,100,0.701276
24.117732,4,0.704253
-4.021143,8,0.709344
9.580547,4,0.712294
-0.124385,4,0.715288
-1.474103,4,0.718155
8.221411,5,0.721646
5.123194,4,0.724599
14.425798,4,0.727529
7.636539,4,0.730516
-1.243208,5,0.733905
-100.0,100,0.791952
5.402133,4,0.795032
-87.862369,91,0.84806
33.372873,4,0.851049
27.725832,5,0.854567
5.280035,4,0.857629
-7.0,7,0.862183
-99.0,100,0.920626
-10.689497,15,0.929797
9.3272,4,0.932777
5.779277,5,0.936291
20.989612,4,0.93936
6.976414,4,0.94231
57.693521,4,0.945234
42.684958,5,0.948788
13.475815,4,0.951668
2.558648,4,0.955015
55.063975,4,0.957997
-0.572678,4,0.96102
-99.0,100,1.019611
13.530758,4,1.022659
-8.911288,15,1.031967
6.134478,4,1.034953
9.708566,10,1.046182
35.779035,4,1.049144
-3.0,4,1.052074
-1.004885,4,1.055285
-4.0,4,1.058072
-1.977022,4,1.061016
-19.080374,29,1.078529
4.041351,4,1.081587
-9.243208,13,1.089718
-100.0,100,1.148927
-1.391276,8,1.154262
0.308197,4,1.157262
72.607905,4,1.160244
12.591307,4,1.163379
18.472692,4,1.16641
8.557332,4,1.169434
-100.0,100,1.229663
-65.36093,100,2.185098
-3.338014,18,2.196394
7.235309,22,2.210094
3.649711,4,2.213114
32.091022,4,2.216137
-100.0,100,2.274728
6.661768,4,2.277776
-2.570252,4,2.280864
-9.243208,13,2.289047
28.327601,4,2.292075
0.196911,4,2.295051
