#{"t_start": 1745977828.59138, "env_id": "None"}
r,l,t
22.196771,4,0.019796
15.525804,4,0.02289
44.531322,4,0.025993
59.989871,5,0.029712
42.174151,4,0.032788
62.182139,4,0.035901
-1.110822,4,0.039079
20.571789,21,0.053169
43.47779,4,0.056819
45.172052,4,0.060456
-1.452821,5,0.06446
7.684045,4,0.06765
-56.04304,64,0.106668
1.028437,4,0.109698
-76.04304,84,0.160734
-5.0,5,0.164124
45.631669,4,0.16709
44.297792,4,0.170077
-58.428211,100,0.227986
0.149769,4,0.231215
5.60668,14,0.23992
30.876991,4,0.242969
42.993594,4,0.245977
-15.04304,23,0.25986
32.508933,4,0.262912
-55.0,55,0.294708
32.508933,4,0.297751
46.648103,4,0.300734
38.24278,4,0.303692
44.531322,4,0.306684
38.24278,4,0.309647
46.909996,4,0.312643
-2.634557,4,0.315646
1.028437,4,0.318518
5.60668,14,0.327072
-25.0,25,0.343289
36.684615,4,0.347221
56.743868,4,0.350257
15.60668,4,0.353139
27.033485,4,0.356194
-100.0,100,0.413353
44.297792,4,0.416486
-2.634557,4,0.419499
44.531322,4,0.422488
22.196771,4,0.425491
10.60668,9,0.431215
37.749478,4,0.434153
43.758058,4,0.437105
-42.701607,59,0.471226
16.802806,4,0.474461
26.985028,4,0.477472
-1.055411,4,0.480613
5.323759,4,0.483542
13.60668,6,0.48758
-2.634557,4,0.490577
-6.0,6,0.494511
45.091826,4,0.497593
-100.0,100,0.554898
35.093155,4,0.557904
10.298393,6,0.561935
37.270326,4,0.564841
56.743868,4,0.567785
32.199966,4,0.570755
39.265087,4,0.573727
44.167465,4,0.576681
42.330263,4,0.579642
-1.110822,4,0.582691
22.196771,4,0.585712
45.172052,4,0.588649
35.627805,4,0.591636
46.909996,4,0.594618
35.026343,4,0.597572
31.673452,4,0.600502
-5.0,5,0.603857
30.876991,4,0.606844
6.60668,13,0.614942
50.448428,4,0.617921
43.758058,4,0.620881
25.428048,5,0.624424
-19.04304,27,0.640484
0.149769,4,0.643449
23.602065,16,0.653236
44.531322,4,0.656224
30.907926,4,0.65917
-1.110822,4,0.662203
26.428048,4,0.665092
33.290293,4,0.668022
-100.0,100,0.725567
-100.0,100,0.782604
35.093155,4,0.785589
27.033485,4,0.788638
1.028437,4,0.791511
1.028437,4,0.794408
-1.110822,5,0.798184
46.909996,4,0.80114
38.24278,4,0.804146
39.361665,4,0.80709
12.60668,7,0.811675
38.24278,4,0.814647
46.909996,4,0.817589
3.525804,16,0.827297
-15.0,15,0.836346
32.199966,4,0.83932
-2.634557,4,0.842309
45.631669,4,0.845268
31.119475,4,0.848193
37.026997,4,0.851158
-19.0,19,0.862618
44.167465,4,0.865618
42.993594,4,0.875909
38.24278,4,0.878904
14.60668,5,0.882376
-2.634557,4,0.885357
59.989871,5,0.888989
29.319989,6,0.893277
4.662849,4,0.896293
43.468141,4,0.899293
1.028437,4,0.902195
30.319989,5,0.905887
-68.736155,100,0.96324
38.24278,4,0.966266
35.627805,4,0.969234
22.788333,4,0.972218
17.25319,5,0.975846
9.60668,10,0.982238
37.749478,4,0.985152
5.60668,14,0.993747
21.498235,4,0.996583
-2.634557,4,0.999559
1.028437,4,1.003049
59.989871,5,1.006609
30.876991,4,1.009582
45.172052,4,1.012634
1.432342,4,1.015585
62.182139,4,1.018547
1.432342,4,1.021484
37.270326,4,1.024401
14.60668,5,1.027845
46.909996,4,1.030829
-1.055411,4,1.033961
37.749478,4,1.036863
43.704755,4,1.039809
14.733575,4,1.042736
-29.0,29,1.05981
15.602065,24,1.074204
1.432342,4,1.07716
-1.055411,4,1.080293
-2.634557,4,1.083278
-10.474196,30,1.10102
30.319989,5,1.105306
42.330263,4,1.108299
5.323759,4,1.111227
56.743868,4,1.114213
5.323759,4,1.117129
44.297792,4,1.120104
1.028437,4,1.122979
59.989871,5,1.126532
-2.521888,23,1.140282
44.313271,4,1.14328
23.755265,4,1.14635
13.790597,4,1.149398
35.627805,4,1.152381
-9.0,9,1.158053
44.297792,4,1.161019
-65.04304,73,1.203665
37.270326,4,1.206636
-51.0,51,1.23618
14.125484,4,1.239096
38.24278,4,1.242083
1.432342,4,1.245012
1.028437,4,1.247869
11.60668,8,1.253111
-42.065464,58,1.286804
57.356157,4,1.290978
45.172052,4,1.293978
