#{"t_start": 1745977205.9384212, "env_id": "None"}
r,l,t
-1.500102,3,0.0135
22.847116,3,0.015877
17.576981,4,0.018798
1.388946,3,0.021108
12.297954,3,0.02342
-100.0,100,0.080682
-1.740811,4,0.0837
-20.0,20,0.095498
-2.30138,4,0.098457
-1.259336,3,0.100762
13.494907,4,0.103654
-1.341982,3,0.106036
-100.0,100,0.162779
11.259932,3,0.165089
3.868337,3,0.167377
-2.596094,4,0.170342
-100.0,100,0.227243
15.623778,3,0.229555
12.297954,3,0.231863
-3.30138,5,0.235422
2.235729,3,0.237816
-5.487883,7,0.242375
15.623778,3,0.244674
-1.005273,3,0.246994
-2.555233,3,0.249216
17.92373,3,0.25159
4.989318,3,0.25398
-0.163434,3,0.256218
-2.724478,4,0.259192
-59.341982,61,0.29433
-1.435782,16,0.303955
-1.259336,3,0.306256
15.681038,3,0.308562
-15.186512,28,0.325234
19.817864,3,0.327576
-2.249507,3,0.329834
-0.344626,3,0.332147
2.264673,3,0.334468
13.855078,3,0.336761
1.998592,3,0.339108
-1.487883,3,0.341372
-2.540435,4,0.344323
-3.487883,5,0.347737
19.817864,3,0.35002
-4.5759,6,0.353988
9.73196,3,0.356253
1.707565,3,0.358469
-52.0,52,0.38835
-1.005273,3,0.390665
-46.005273,48,0.418744
16.237881,4,0.421618
5.500095,3,0.423931
-8.631561,14,0.432589
20.072371,3,0.434928
9.284216,3,0.43723
18.824088,3,0.439574
-1.770906,3,0.441958
-20.30138,22,0.455141
-2.30138,4,0.458116
4.849824,3,0.46043
-2.30138,4,0.46348
3.214961,3,0.465796
-1.5759,3,0.468085
21.533699,3,0.470405
-1.724478,3,0.472811
-2.487883,4,0.475715
-2.487883,4,0.47858
-2.326393,3,0.480801
1.795836,3,0.483237
-4.341982,6,0.487392
-1.724478,3,0.489786
3.868337,3,0.492086
-100.0,100,0.549079
-1.724478,3,0.551485
9.73196,3,0.553764
8.950251,3,0.559124
17.359878,3,0.561508
20.044276,3,0.563863
3.868337,3,0.566144
-100.0,100,0.623109
-22.0,22,0.63656
2.264673,3,0.638947
9.73196,3,0.64125
-1.005273,3,0.643581
-1.30138,3,0.645981
-2.212441,3,0.648271
31.885095,3,0.650715
-1.770906,3,0.652926
-5.30138,7,0.657664
4.831806,3,0.659987
-25.186512,38,0.682133
-1.129888,3,0.684535
-100.0,100,0.742136
-1.55921,5,0.745598
1.264673,4,0.748536
-1.724478,3,0.75097
-3.0,3,0.75315
9.001346,4,0.756102
-1.259336,3,0.758382
18.824088,3,0.760705
14.046978,3,0.76309
-2.5759,4,0.765937
22.847116,3,0.768243
-29.341982,31,0.78806
-3.0,3,0.790344
16.02967,3,0.792713
-8.230103,47,0.820488
7.152167,3,0.82285
-13.764271,19,0.834386
-2.6897,3,0.838761
-25.943734,27,0.854704
3.868337,3,0.857149
-0.740811,3,0.859555
19.129028,3,0.861866
25.200176,3,0.864249
-2.555233,3,0.866543
22.847116,3,0.868866
-1.500102,3,0.871131
0.849407,4,0.874091
-1.770906,3,0.876519
-2.596094,4,0.879554
25.092735,1,0.88074
-2.016093,3,0.882928
-1.259336,3,0.885257
2.235729,3,0.887674
21.766086,3,0.890098
-14.341982,16,0.900079
-1.770906,3,0.902558
-0.344626,3,0.90497
-2.0,3,0.90766
-1.540435,3,0.910078
13.908249,3,0.912434
-1.724478,3,0.91486
-1.724478,3,0.917302
20.072371,3,0.919707
-1.005273,3,0.922267
2.235729,3,0.924682
0.532516,4,0.927595
17.359878,3,0.929968
-1.724478,3,0.932377
-12.563888,31,0.950967
-2.540435,4,0.954037
-2.0,3,0.956441
2.264673,3,0.958868
-1.770906,3,0.961329
0.264673,5,0.964868
-0.344626,3,0.96721
-1.30138,3,0.969659
-100.0,100,1.028687
4.989318,3,1.031854
7.824136,3,1.034749
-3.555233,4,1.037659
2.057819,3,1.040069
12.297954,3,1.042367
7.770679,3,1.044619
-100.0,100,1.101903
10.695725,3,1.104175
7.813488,5,1.107689
-100.0,100,1.165225
1.813488,11,1.172047
-100.0,100,1.229492
-5.30138,7,1.234175
14.459905,3,1.236488
-2.759234,3,1.238829
1.388946,3,1.241119
-1.30138,3,1.243517
1.532516,3,1.245809
-1.005273,3,1.248099
-1.724478,3,1.250489
-5.150593,10,1.256792
-2.30138,4,1.259823
12.554408,3,1.262135
4.831806,3,1.264447
-100.0,100,2.182619
-1.724478,3,2.18523
-1.500102,3,2.187526
-21.341982,23,2.201636
-2.555233,3,2.203937
-12.0,12,2.21143
-1.005273,3,2.2138
-2.540435,4,2.217085
-3.0,4,2.220066
-100.0,100,2.278798
9.73196,3,2.281123
12.297954,3,2.283485
-4.596094,6,2.287718
7.813488,5,2.291206
12.436112,6,2.295359
26.037068,3,2.297713
3.868337,3,2.300074
-100.0,100,2.358601
-0.344626,3,2.360947
-3.555233,4,2.363852
-2.275443,3,2.366107
-1.005273,3,2.368444
6.564218,8,2.373746
13.494907,4,2.376673
-9.341982,11,2.383829
-1.724478,3,2.386257
-30.0,30,2.404105
-1.724478,3,2.406548
3.299865,3,2.410175
20.044276,3,2.412539
-2.435782,17,2.423201
15.428197,3,2.425547
-1.30138,3,2.42799
-100.0,100,2.486084
-41.563888,60,2.52137
26.037068,3,2.523767
-52.341982,54,2.555767
-1.724478,3,2.558208
17.576981,4,2.561155
5.701374,3,2.563496
-1.770906,3,2.565937
-1.770906,3,2.568391
8.950251,3,2.570777
-2.540435,4,2.5738
8.80462,3,2.576096
-1.724478,3,2.578524
-18.563888,37,2.600471
-8.0,8,2.605614
21.830866,3,2.607976
-2.212441,3,2.610294
-2.759234,3,2.612593
-3.249507,4,2.615496
-2.549025,10,2.621944
3.214961,3,2.624314
7.152167,3,2.626659
14.046978,3,2.628985
25.200176,3,2.631361
-100.0,100,2.689773
5.701374,3,2.692155
4.831806,3,2.694537
5.701374,3,2.698538
-2.596094,4,2.701635
-1.943734,3,2.704
-3.341982,5,2.707671
-85.39741,87,2.758812
2.235729,3,2.761312
-3.0,3,2.763562
25.092735,1,2.764716
31.885095,3,2.767087
-12.016093,13,2.775143
-11.631561,17,2.787277
-25.30138,27,2.805127
-100.0,100,2.868431
-1.724478,3,2.871167
-2.596094,4,2.874436
3.813488,9,2.880644
-19.55921,23,2.895788
-1.129888,3,2.898423
-1.555233,3,2.901119
-15.341982,17,2.912657
20.072371,3,2.915276
26.037068,3,2.91779
1.479158,3,2.920229
-2.326393,3,2.922692
3.214961,3,2.925219
0.368439,5,2.928981
15.681038,3,2.931516
1.532516,3,2.93401
-100.0,100,2.996864
-2.596094,4,3.000194
4.831806,3,3.002728
12.297954,3,3.005254
-0.344626,3,3.007745
3.4162,3,3.01033
-7.30138,9,3.016772
11.436112,7,3.021813
16.221621,3,3.027089
-2.016093,3,3.029623
-2.6897,3,3.032103
7.152167,3,3.034598
-1.005273,3,3.037133
-98.943734,100,3.099995
-2.668291,3,3.102486
-2.326393,3,3.104899
-1.5759,3,3.107399
-1.943734,3,3.109904
3.869669,3,3.112335
-1.259336,3,3.114836
-100.0,100,3.177478
-3.341982,5,3.181467
33.769897,5,3.18526
-1.005273,3,3.187782
-1.724478,3,3.190407
12.297954,3,3.192914
-1.943734,3,3.195434
3.868337,3,3.197933
-1.770906,3,3.200556
-3.0,3,3.202955
-2.016093,3,3.205483
-0.344626,3,3.207982
-13.341982,15,3.218104
-1.770906,3,3.220754
-33.000948,61,3.26245
-100.0,100,3.325938
-100.0,100,3.388448
-100.0,100,3.451182
19.769897,19,3.463853
-100.0,100,4.426588
-3.555233,4,4.429884
-100.0,100,4.492788
18.886755,3,4.495493
-2.668291,3,4.497956
15.681038,3,4.500485
22.847116,3,4.503058
-1.724478,3,4.505656
-8.341982,10,4.512677
-2.212441,3,4.516275
4.853073,3,4.518847
-32.016093,33,4.540047
-100.0,100,4.602615
-14.0,14,4.611926
-2.326393,3,4.614412
4.849824,3,4.616919
7.309582,8,4.622566
26.037068,3,4.625122
-1.943734,3,4.627617
-1.634557,3,4.630235
3.849824,4,4.633386
-2.55921,6,4.637791
-3.759234,4,4.640849
