#{"t_start": 1745977093.1013882, "env_id": "None"}
r,l,t
-98.521483,100,0.074186
-28.0,28,0.092003
10.345939,6,0.096655
40.808667,6,0.101228
10.268748,7,0.106434
-20.894586,23,0.121263
60.888647,6,0.125845
-6.0,6,0.130148
-89.820625,100,0.192846
1.603946,6,0.19739
-100.0,100,0.259558
53.023315,6,0.264169
-100.0,100,0.325855
-97.444125,100,0.388085
-4.573354,8,0.393818
-88.198742,100,0.456137
24.06054,6,0.460768
13.927641,6,0.465443
-87.629785,100,0.527406
-16.489757,25,0.543358
-78.585279,100,0.605502
33.324251,6,0.610225
-100.0,100,0.672062
30.029803,6,0.676846
-15.01433,17,0.688018
-14.894586,18,0.705961
41.330509,6,0.710701
-100.0,100,0.772581
18.468414,6,0.777662
10.482247,6,0.782302
40.886593,6,0.7869
65.295805,7,0.792061
-62.0,62,0.830577
-10.529931,30,0.84942
100.52552,6,0.854035
9.409509,6,0.858635
22.915855,6,0.863318
36.190157,6,0.867893
-1.582294,6,0.87223
11.501948,9,0.878888
-1.79466,6,0.883646
41.434263,6,0.88823
-100.0,100,0.950098
8.665482,6,0.954682
16.491249,6,0.959327
-3.488918,6,0.96376
-2.638707,6,0.968462
50.69291,6,0.973151
51.047132,6,0.977802
-98.347429,100,1.03975
117.013644,6,1.044379
13.501948,7,1.049564
16.081943,6,1.05415
-72.538395,85,1.106805
-100.0,100,1.170195
33.691384,6,1.174852
-100.0,100,1.236906
106.263099,6,1.241586
-3.65845,6,1.246053
13.779003,6,1.250602
27.127888,6,1.255164
11.654951,6,1.259608
32.307199,7,1.264788
25.328035,6,1.269528
25.845193,6,1.274666
-100.0,100,2.214601
45.803443,6,2.219301
17.409974,6,2.223593
11.057002,6,2.227948
-1.644456,6,2.23225
46.910124,6,2.236514
-16.482236,20,2.248799
46.941636,6,2.253076
-100.0,100,2.3102
-77.496271,100,2.367748
-100.0,100,2.424496
-100.0,100,2.481981
-97.769154,100,2.54194
-65.0,65,2.579787
-100.0,100,2.636574
108.507953,6,2.640816
