#{"t_start": 1745977648.652651, "env_id": "None"}
r,l,t
-36.565317,48,0.041209
-1.754007,4,0.044233
5.31696,4,0.047354
2.675822,7,0.05209
3.776858,6,0.056252
2.45915,4,0.059177
10.167467,4,0.062143
-1.754007,4,0.065162
-1.754007,4,0.068135
4.133152,4,0.071079
-1.223142,11,0.078135
1.206039,4,0.081096
8.310454,4,0.084094
5.31696,4,0.087342
-2.237155,4,0.090287
5.31696,4,0.093422
-1.754007,4,0.096429
-2.27024,4,0.099563
10.167467,4,0.102538
-1.905459,4,0.105607
1.203981,4,0.108544
0.318005,4,0.111418
5.31696,4,0.114518
-2.719632,4,0.11756
-1.905459,4,0.12063
0.675822,9,0.126535
-1.905459,4,0.12966
0.318005,4,0.132652
-1.754007,4,0.135602
10.167467,4,0.138582
-1.905459,4,0.141629
-2.27024,4,0.144665
5.31696,4,0.147752
-1.754007,4,0.150743
-2.905459,4,0.153708
4.31696,5,0.157411
10.167467,4,0.160391
0.999832,4,0.163391
-2.354815,4,0.166476
-1.905459,4,0.169572
4.31696,5,0.173243
-2.719632,4,0.176215
-2.158811,4,0.179174
-2.354815,4,0.182251
-1.905459,4,0.185311
8.310454,4,0.188337
-2.354815,4,0.191452
-2.719632,4,0.194453
10.683232,4,0.197485
-2.27024,4,0.200501
5.31696,4,0.203568
8.267348,4,0.2067
5.671838,4,0.209633
5.31696,4,0.212784
8.267348,4,0.215784
9.561322,4,0.218812
-3.542161,4,0.221714
4.31696,5,0.225425
9.561322,4,0.228496
1.93612,4,0.231627
5.671838,4,0.234586
1.321543,4,0.237708
-13.223142,23,0.251716
8.310454,4,0.254726
-2.354815,4,0.257839
0.675822,9,0.263765
2.45915,4,0.266707
-2.905459,4,0.269682
8.310454,4,0.272686
-2.354815,4,0.275788
-2.890951,4,0.27868
1.321543,4,0.281789
10.064205,4,0.284851
-4.0,4,0.287693
10.167467,4,0.290675
-2.905459,4,0.293642
8.267348,4,0.296709
8.267348,4,0.299699
5.31696,4,0.302804
0.999832,4,0.305805
5.31696,4,0.309161
5.31696,4,0.312248
9.561322,4,0.315303
9.058438,4,0.318332
0.999832,4,0.321353
4.740433,4,0.324291
5.31696,4,0.327394
1.776858,8,0.332734
-1.905459,4,0.335763
-2.354815,4,0.33893
5.31696,4,0.342029
1.321543,4,0.345311
10.343577,4,0.348316
9.167467,5,0.351886
-2.237155,4,0.354722
5.31696,4,0.357843
10.604679,4,0.360847
0.999832,4,0.36381
-1.754007,4,0.366831
-1.754007,4,0.369844
8.310454,4,0.372861
4.740433,4,0.375779
1.321543,4,0.378888
8.310454,4,0.381906
10.167467,4,0.384902
2.45915,4,0.387784
10.064205,4,0.390799
-6.0,6,0.394782
10.064205,4,0.397798
5.31696,4,0.40374
5.31696,4,0.407043
1.93612,4,0.410048
-1.754007,4,0.413071
-1.905459,4,0.416123
2.45915,4,0.419034
-2.905459,4,0.422002
8.267348,4,0.425043
-1.754007,4,0.428022
-1.754007,4,0.431036
8.310454,4,0.43404
-2.354815,4,0.43715
-3.237155,5,0.440573
-2.719632,4,0.443577
10.064205,4,0.446974
5.31696,4,0.45008
-2.354815,4,0.453258
-2.354815,4,0.456517
-3.177471,4,0.459474
8.310454,4,0.462468
1.93612,4,0.465758
0.999832,4,0.468801
1.93612,4,0.471748
-1.754007,4,0.47472
8.310454,4,0.477715
10.683232,4,0.480745
-1.754007,4,0.483713
8.310454,4,0.486704
10.167467,4,0.489691
1.206039,4,0.492605
-2.719632,4,0.495579
0.318005,4,0.498448
1.93612,4,0.501404
1.321543,4,0.50451
5.31696,4,0.507566
10.167467,4,0.510527
8.310454,4,0.513535
-1.905459,4,0.516591
-1.890951,4,0.519619
1.93612,4,0.522563
-1.754007,4,0.52584
