#{"t_start": 1745978012.8911438, "env_id": "None"}
r,l,t
12.715723,4,0.013507
0.897353,4,0.016613
56.595822,4,0.019683
3.49417,4,0.022765
0.897353,4,0.025813
1.967335,4,0.028821
-100.0,100,0.08952
1.264394,5,0.093265
7.532079,4,0.096349
-1.425654,4,0.099532
5.378519,4,0.102715
34.473929,4,0.10598
56.595822,4,0.109207
19.222397,4,0.112421
-100.0,100,0.174988
-2.59753,5,0.179049
-1.698371,4,0.18228
-1.67126,4,0.185691
-30.698371,33,0.206899
54.399319,4,0.209975
0.307229,4,0.213055
-100.0,100,0.27228
0.307229,4,0.275352
-1.960949,4,0.278548
10.970996,4,0.281539
61.22376,4,0.284578
23.214084,4,0.287609
14.093561,4,0.290692
-100.0,100,0.349384
-1.737319,4,0.352554
2.916814,4,0.355726
-1.830362,4,0.358774
-100.0,100,0.417623
-1.67126,4,0.420869
-1.670513,4,0.424102
-98.339514,100,0.48786
-2.816732,4,0.491187
6.329723,4,0.494346
-3.406269,6,0.498944
-44.303191,65,0.539919
-6.0,6,0.544334
-39.0,39,0.568959
27.027466,4,0.57228
8.80186,4,0.575445
-100.0,100,0.638419
18.628416,4,0.641659
-100.0,100,0.704222
18.819325,4,0.707456
-12.0,12,0.715367
-100.0,100,0.777953
52.962233,4,0.781202
14.598576,5,0.784994
-98.609835,100,0.847914
-1.67126,4,0.85131
8.467495,4,0.85453
3.437932,5,0.858302
28.890439,8,0.863881
7.35456,4,0.867033
0.307229,4,0.870256
-100.0,100,0.932643
-0.963224,4,0.935885
8.111378,4,0.939126
3.569049,4,0.942332
14.657025,4,0.945498
53.354804,4,0.94871
5.650809,4,0.95193
-100.0,100,1.014131
34.473929,4,1.017503
34.486708,4,1.020738
-1.763509,4,1.035794
-2.755751,4,1.039148
5.272385,4,1.042469
-1.909889,4,1.045758
10.878567,4,1.049089
0.908328,4,1.052456
-2.856397,4,1.055718
8.639498,4,1.058935
-2.583486,5,1.06277
-100.0,100,1.125602
-3.239935,5,1.129608
