#{"t_start": 1745977109.4725761, "env_id": "None"}
r,l,t
-2.978948,6,0.017303
-3.50042,6,0.021519
-14.027262,15,0.030733
-79.005567,82,0.083175
-0.061228,6,0.087664
-4.005567,6,0.092198
-4.972809,6,0.096657
-2.978948,6,0.101215
1.615587,6,0.105778
-3.200892,6,0.110325
-5.982579,8,0.115948
1.615587,6,0.120561
-8.0,8,0.126173
-1.042746,6,0.130862
-2.978948,6,0.135401
-2.978948,6,0.140062
-3.052439,6,0.144725
1.615587,6,0.149233
-2.978948,6,0.153903
-7.0,7,0.161154
-97.005567,100,0.223376
-0.048084,6,0.227909
-3.215596,6,0.232451
-6.617017,9,0.23895
-2.978948,6,0.243766
0.531819,6,0.248307
1.615587,6,0.252937
-11.161307,16,0.263519
1.691085,6,0.26813
1.615587,6,0.272737
-2.978948,6,0.277378
0.3865,6,0.2819
-1.449675,6,0.286322
-2.978948,6,0.290914
-97.005567,100,0.353513
1.615587,6,0.358104
-4.972809,6,0.362439
-2.918262,6,0.367167
1.08716,6,0.371759
-0.048084,6,0.376289
-2.978948,6,0.380865
-0.048084,6,0.385382
-2.978948,6,0.38996
-0.048084,6,0.394606
1.402717,6,0.399179
-6.982579,9,0.40546
1.615587,6,0.410274
-2.042746,7,0.415604
-3.074149,6,0.420136
-3.052439,6,0.424956
-2.978948,6,0.429512
-3.200892,6,0.434066
-2.431193,7,0.439506
1.615587,6,0.444065
-7.0,7,0.448929
-3.115202,6,0.453618
-0.001947,6,0.45827
-35.0,35,0.480283
-11.0,11,0.487756
-2.508026,6,0.492326
-3.200892,6,0.496918
-1.223279,6,0.501455
-0.061228,6,0.505928
-2.978948,6,0.510458
-3.200892,6,0.515142
-3.052439,6,0.519786
-10.0,10,0.526521
1.615587,6,0.531087
-4.524828,6,0.535556
-57.697362,64,0.575959
1.615587,6,0.582273
1.615587,6,0.586879
-3.200892,6,0.591437
-10.0,10,0.598175
-3.247764,6,0.60273
-1.449675,6,0.60726
-0.495372,6,0.611727
-2.978948,6,0.61631
-2.978948,6,0.620854
-1.431193,6,0.625622
-2.978948,6,0.630185
-5.972809,7,0.635229
1.615587,6,0.639806
-0.654299,6,0.644434
-4.617017,7,0.64953
-0.349596,6,0.654217
-3.115202,6,0.658887
1.615587,6,0.663575
-2.978948,6,0.668128
-22.0,22,0.68221
1.615587,6,0.686773
-6.0,6,0.69106
-4.769808,8,0.697069
-59.005567,62,0.736248
-2.978948,6,0.740834
-3.052439,6,0.745466
-1.800397,6,0.749917
-1.042746,6,0.754763
-2.50042,6,0.763893
-4.978376,8,0.769683
-3.831952,6,0.77416
-1.449675,6,0.778537
-2.978948,6,0.783225
-2.978948,6,0.787794
-0.048084,6,0.792284
-2.978948,6,0.796828
1.615587,6,0.801407
-2.50042,6,0.806053
-0.061228,6,0.810524
1.615587,6,0.815517
-5.697362,12,0.823711
-3.052439,6,0.828335
-3.831952,6,0.832841
1.08716,6,0.8374
-8.0,8,0.842825
-0.349596,6,0.847479
-3.022464,6,0.852074
-21.0,21,0.866066
-3.527611,6,0.870652
-4.740382,6,0.875157
-3.527611,6,0.879733
1.402717,6,0.88428
1.08716,6,0.888874
-1.431193,6,0.893681
-3.722936,6,0.898196
-0.349596,6,0.902697
-3.200892,6,0.907418
-2.88643,6,0.911781
-2.978948,6,0.916336
-15.027262,16,0.927768
-3.527611,6,0.932323
-54.005567,57,0.968623
-1.431193,6,0.973467
-2.431193,7,0.978884
1.402717,6,0.983442
-3.530395,6,0.987993
-3.200892,6,0.992568
-10.0,10,0.999391
-2.978948,6,1.003973
-14.0,14,1.013125
-2.978948,6,1.017675
-3.527611,6,1.022281
-4.333767,6,1.0269
-5.617017,8,1.032596
-2.50042,6,1.037235
-4.524828,6,1.041679
-9.027262,10,1.048503
-2.978948,6,1.053199
1.615587,6,1.057798
-29.161307,34,1.080063
-1.431193,6,1.085072
-3.265829,6,1.089597
-3.115202,6,1.094113
-1.042746,6,1.098823
-1.449675,6,1.103247
-3.052439,6,1.107895
-2.978948,6,1.112494
-3.052439,6,1.11729
-4.972809,6,1.121645
1.08716,6,1.126249
1.615587,6,1.130827
1.402717,6,1.13537
1.615587,6,1.139925
0.531819,6,1.144569
-3.052439,6,1.149247
-3.975593,6,1.153825
-14.161307,19,1.166225
-3.200892,6,1.170776
-7.161307,12,1.179034
-2.978948,6,1.183694
-13.0,13,1.192272
-10.223279,15,1.20231
1.615587,6,1.207077
-2.001947,7,1.212892
-1.042746,6,1.21771
1.615587,6,1.222269
-6.027262,7,1.227254
-4.525447,6,1.231652
1.08716,6,1.236356
-3.530395,6,1.240896
-24.0,24,1.256284
-8.0,8,1.261767
-1.800397,6,1.266388
-3.722936,6,1.270924
1.615587,6,1.275498
0.22714,6,1.280159
-2.978948,6,1.284807
-3.200892,6,1.289376
-3.174798,6,1.293862
1.615587,6,1.298507
-4.390394,9,1.304941
-2.978948,6,1.309525
-2.978948,6,1.314237
-12.0,12,1.322373
-1.042746,6,1.327281
-4.005567,6,1.331824
-0.061228,6,1.336323
1.615587,6,1.340896
-3.052439,6,1.345865
-1.042746,6,1.350587
-6.0,6,1.355007
-0.048084,6,1.360354
-2.978948,6,1.364997
1.615587,6,1.369584
-3.200892,6,1.374138
-3.722936,6,1.378653
-15.0,15,1.388267
-39.005567,42,1.413595
-8.0,8,1.418678
-2.978948,6,1.422958
-1.431193,6,1.427419
-1.042746,6,1.431799
-2.042746,7,1.436771
-4.049655,6,1.441258
-4.023632,6,1.44546
1.08716,6,1.449792
-18.0,18,1.460657
-6.975593,9,1.466457
1.08716,6,2.378873
-2.978948,6,2.38366
-3.831952,6,2.388029
-3.978948,7,2.392956
-3.527611,6,2.397251
-7.027262,8,2.40247
-13.0,13,2.410535
-29.0,29,2.427675
1.402717,6,2.431967
1.615587,6,2.436287
1.402717,6,2.440569
-1.449675,6,2.444765
-4.497637,7,2.449606
1.402717,6,2.45391
1.615587,6,2.458233
-3.215596,6,2.463016
-1.800397,6,2.46725
-8.161307,13,2.475394
-3.052439,6,2.47973
-4.002784,6,2.48393
-8.617017,11,2.49097
-0.495372,6,2.495194
-4.174798,7,2.499883
-24.0,24,2.514046
-14.0,14,2.522501
-3.722936,6,2.526788
-3.247764,6,2.531251
-5.242197,6,2.535254
-21.027262,22,2.54846
-8.0,8,2.553628
-15.027262,16,2.563326
-3.982579,6,2.567443
-1.449675,6,2.571588
-20.0,20,2.583614
-2.978948,6,2.587865
-8.0,8,2.59297
