#{"t_start": 1745977031.8528004, "env_id": "None"}
r,l,t
-2.164216,5,0.01989
-14.5007,18,0.032135
11.475765,5,0.035909
26.765675,5,0.03985
-100.0,100,0.099267
40.230872,5,0.103059
-3.487567,7,0.108103
-3.5759,5,0.111568
-100.0,100,0.168906
-0.728408,5,0.172458
10.984631,5,0.176079
-3.727566,7,0.18102
-6.672009,9,0.186968
-2.398438,6,0.191428
-1.329692,7,0.196121
-3.135479,6,0.20046
7.689966,5,0.203991
1.683006,5,0.207591
-50.0,50,0.236444
-1.539525,5,0.240051
17.990517,5,0.243612
-100.0,100,0.301105
23.640554,5,0.304877
22.497823,5,0.308801
1.718229,5,0.312503
-97.247891,100,0.372525
-26.909633,28,0.389085
-100.0,100,0.445829
66.638391,5,0.449507
16.154613,6,0.453566
-9.0,9,0.459263
7.227297,5,0.462829
-1.981944,5,0.466483
-2.52236,5,0.470155
-2.226191,5,0.473781
-41.872335,44,0.499662
-1.251985,5,0.503217
-2.604475,5,0.506799
-2.164216,5,0.510375
18.219383,5,0.513874
-100.0,100,0.570923
-2.181114,5,0.574472
-100.0,100,0.633263
-100.0,100,0.690068
4.159033,10,0.69645
-100.0,100,0.75335
0.855976,5,0.756974
49.330909,5,0.760672
-2.802234,5,0.764333
-100.0,100,0.823103
-2.157271,5,0.826952
-97.57578,100,0.88656
-2.43791,5,0.890455
-1.539525,5,0.894114
-100.0,100,0.951084
-9.043528,11,0.95797
44.402499,5,0.961548
92.650601,5,0.97456
-1.216974,5,0.978069
-31.926266,34,0.998311
-86.897663,100,1.0564
-4.200591,7,1.061383
9.23653,7,1.066038
9.997291,5,1.069658
-3.799123,6,1.073828
25.312128,5,1.077567
28.037901,5,1.081112
78.709959,5,1.084765
-3.241913,5,1.088341
-100.0,100,1.145355
-2.811513,5,1.149032
-100.0,100,1.206156
26.970298,8,1.21149
-2.157271,5,1.215186
-12.0,12,1.222546
-68.227057,69,2.087376
-2.872335,5,2.091139
10.814659,6,2.095216
-100.0,100,2.15192
-2.047658,5,2.15553
-5.126239,8,2.16076
-100.0,100,2.217472
42.712709,5,2.221129
-100.0,100,2.278171
-2.351193,7,2.282922
1.065383,5,2.286596
-7.047234,9,2.292515
-100.0,100,2.352151
-2.199317,5,2.355975
-100.0,100,2.412664
-3.126239,6,2.416744
-2.604475,5,2.42049
11.607695,5,2.424239
12.945761,5,2.427841
-100.0,100,2.484653
44.091491,5,2.488328
17.816788,5,2.491945
-100.0,100,2.548764
-2.810771,5,2.55238
-2.115872,5,2.555983
-2.369908,6,2.560493
10.475765,6,2.564736
-10.0,10,2.570933
-2.977312,5,2.574509
-2.527679,5,2.578192
-98.832484,100,2.63524
-100.0,100,2.692274
-100.0,100,2.749799
15.285683,5,2.753516
11.820489,5,2.767412
38.92306,5,2.77109
-100.0,100,2.830988
-6.0,6,2.835289
-4.22785,5,2.838892
41.858196,5,2.842486
-3.109241,6,2.847163
44.402499,5,2.850741
-100.0,100,2.907574
28.26705,6,2.911809
-100.0,100,2.968955
1.151504,5,2.97251
39.554894,5,2.9761
39.265565,5,2.979706
-100.0,100,3.036457
-100.0,100,3.094756
-2.157271,5,3.098507
-100.0,100,3.156922
-5.0,5,3.160369
25.146153,5,3.163941
-19.32487,21,3.18014
-2.814425,5,3.18386
18.185424,6,3.188106
-100.0,100,3.246233
20.790683,5,3.249924
12.051468,5,3.253628
-90.0,90,4.171614
38.362271,5,4.176456
-2.406269,5,4.180235
1.286824,5,4.184041
-100.0,100,4.242436
-67.0,67,4.281487
-2.467123,6,4.286267
16.460899,5,4.289889
-4.540435,7,4.294721
-14.0,14,4.303273
48.014714,9,4.309123
-100.0,100,4.366161
