#{"t_start": 1745976774.7853851, "env_id": "None"}
r,l,t
28.107274,4,0.015228
48.169571,3,0.017571
27.236784,3,0.019876
48.169571,3,0.02217
-4.639555,19,0.034112
27.236784,3,0.036392
48.169571,3,0.03871
27.236784,3,0.040971
48.169571,3,0.043281
75.802397,3,0.045616
43.249658,3,0.047927
39.256908,3,0.050171
-6.366916,8,0.055377
-5.366916,7,0.060064
-1.366916,3,0.062495
12.840607,3,0.064771
28.240607,3,0.067106
48.169571,3,0.069408
-1.353333,3,0.07201
-4.0,4,0.074721
12.840607,3,0.07696
-9.0,9,0.082515
48.169571,3,0.084821
27.236784,3,0.087048
74.879319,3,0.089351
48.169571,3,0.091644
8.360445,6,0.096028
48.169571,3,0.098343
-1.353333,3,0.10073
-3.0,3,0.102909
-21.366916,23,0.11657
29.107274,3,0.118911
74.879319,3,0.12121
12.840607,3,0.123471
-2.353333,4,0.126443
23.341046,3,0.128837
27.236784,3,0.13107
-26.0,26,0.146232
39.256908,3,0.148465
-73.658954,100,0.20523
-34.0,34,0.224822
48.169571,3,0.227135
-1.353333,3,0.229542
43.249658,3,0.231844
23.475192,3,0.234106
75.802397,3,0.236402
-98.353333,100,0.29311
27.236784,3,0.295356
8.360445,6,0.299478
26.236784,4,0.302359
22.341046,3,0.304729
-12.0,12,0.312092
27.236784,3,0.314353
-12.366916,15,0.323766
48.169571,3,0.326065
29.107274,3,0.32841
-67.0,67,0.367162
23.475192,3,0.36946
-4.0,4,0.372218
-4.0,4,0.374924
22.341046,3,0.377163
-3.639555,18,0.388362
48.169571,3,0.390668
-1.353333,3,0.39307
-24.0,24,0.407238
12.840607,3,0.409545
-12.0,12,0.417006
-12.0,12,0.424299
28.240607,3,0.426634
48.998319,4,0.429497
28.240607,3,0.431841
-1.366916,3,0.4342
12.840607,3,0.436477
27.236784,3,0.438718
48.169571,3,0.44101
-1.353333,3,0.443397
10.360445,4,0.446356
27.236784,3,0.448599
7.360445,7,0.453264
-2.639555,17,0.463583
10.360445,4,0.466568
48.169571,3,0.468865
-68.759393,100,0.525903
22.341046,3,0.528178
10.360445,4,0.531701
43.249658,3,0.533994
48.169571,3,0.536335
-3.0,3,0.538543
27.236784,3,0.540821
-1.639555,16,0.550663
-3.0,3,0.552871
12.840607,3,0.55515
28.107274,4,0.558098
26.236784,4,0.56093
43.249658,3,0.563221
74.879319,3,0.56551
-3.0,3,0.567682
-5.0,5,0.570979
22.341046,3,0.573217
27.236784,3,0.575448
74.879319,3,0.577739
27.236784,3,0.579991
43.249658,3,0.58226
-16.639555,31,0.600575
28.055718,3,0.602859
-3.0,3,0.605043
-22.639555,37,0.626598
-7.366916,9,0.632378
48.169571,3,0.634671
10.360445,4,0.641254
28.055718,3,0.643545
-12.366916,14,0.652178
3.360445,11,0.6591
-22.120681,100,0.71623
28.107274,4,0.719141
26.236784,4,0.721953
-13.0,13,0.729788
12.840607,3,0.732084
27.236784,3,0.734326
5.360445,9,0.740155
-27.639555,42,0.764498
-1.353333,3,0.766901
43.249658,3,0.769175
-11.0,11,0.775865
1.360445,13,0.783916
27.236784,3,0.786155
27.236784,3,0.788404
27.236784,3,0.790649
48.169571,3,0.792963
-5.0,5,0.797082
-9.366916,11,0.804081
22.341046,3,0.80634
43.249658,3,0.808633
-2.353333,4,0.811613
43.249658,3,0.813908
43.249658,3,0.816215
27.236784,3,0.81846
4.360445,10,0.824875
48.169571,3,0.827172
27.236784,3,0.829439
5.360445,9,0.835291
43.249658,3,0.837595
27.236784,3,0.839885
29.107274,3,0.842243
-4.366916,6,0.846355
43.249658,3,0.848653
-1.366916,3,0.851024
27.236784,3,0.853276
48.998319,4,0.856176
27.236784,3,0.858717
26.236784,4,0.861555
10.840607,5,0.864997
23.475192,3,0.867287
75.802397,3,0.869612
48.169571,3,0.871961
3.360445,11,0.878939
22.341046,3,0.881194
-3.0,3,0.883364
49.058907,3,0.885679
27.236784,3,0.887954
-8.366916,10,0.894324
23.341046,3,0.896727
7.360445,7,0.901427
-1.353333,3,0.903858
-12.0,12,0.911133
29.107274,3,0.913505
74.879319,3,0.915823
-5.0,5,0.919132
-33.366916,35,0.939579
-3.0,3,0.941788
48.169571,3,0.944118
-48.830429,100,1.000549
-30.639555,45,1.026495
43.249658,3,1.029552
-9.0,9,1.035156
12.840607,3,1.037438
-8.366916,10,1.043779
48.169571,3,1.046058
48.169571,3,1.048351
-32.639555,47,1.075511
-1.353333,3,1.07791
-21.197603,100,1.134446
75.802397,3,1.136754
23.341046,3,1.139137
-5.0,5,1.142434
27.236784,3,1.144673
28.107274,4,1.147559
74.879319,3,1.149848
26.236784,4,1.152668
-53.496549,100,1.20931
27.236784,3,1.211544
10.360445,4,1.214514
23.341046,3,1.216899
-98.353333,100,1.273422
8.360445,6,1.27751
43.249658,3,1.279795
23.475192,3,1.282051
22.341046,3,1.284283
75.802397,3,1.286555
28.240607,3,1.288875
10.360445,4,1.291826
-25.0,25,2.157098
9.360445,5,2.160838
48.998319,4,2.163765
-7.0,7,2.168369
27.236784,3,2.170634
-4.0,4,2.173355
27.236784,3,2.175586
10.835921,3,2.177799
26.236784,4,2.18068
75.802397,3,2.183117
43.249658,3,2.185405
29.107274,3,2.187781
10.360445,4,2.190732
81.235181,3,2.193068
27.236784,3,2.19541
27.236784,3,2.197657
22.828525,3,2.199895
23.341046,3,2.202274
11.360445,3,2.204664
29.107274,3,2.207026
80.235181,4,2.209994
80.235181,4,2.212892
27.236784,3,2.215125
29.107274,3,2.217463
28.240607,3,2.219808
48.169571,3,2.222162
29.107274,3,2.2246
9.360445,5,2.228159
22.828525,3,2.230373
27.236784,3,2.232619
27.236784,3,2.234921
29.107274,3,2.237381
75.802397,3,2.24021
-22.0,22,2.253372
48.169571,3,2.255689
-3.0,3,2.257813
48.169571,3,2.260128
3.360445,11,2.267213
-22.639555,37,2.288964
8.360445,6,2.293206
81.235181,3,2.295497
-3.0,4,2.298377
48.169571,3,2.300666
74.879319,3,2.30296
49.998319,3,2.305293
48.169571,3,2.307652
27.236784,3,2.309881
27.236784,3,2.312157
27.236784,3,2.314384
29.107274,3,2.31671
48.169571,3,2.319063
27.236784,3,2.32137
-2.366916,4,2.324327
28.240607,3,2.32665
81.235181,3,2.328943
48.169571,3,2.331244
-11.639555,26,2.346795
28.107274,4,2.349805
29.107274,3,2.352162
22.341046,3,2.354392
27.236784,3,2.356631
6.360445,8,2.361992
80.235181,4,2.365028
28.240607,3,2.367349
29.107274,3,2.369666
48.169571,3,2.37202
22.341046,3,2.374307
75.802397,3,2.376733
28.240607,3,2.380038
75.802397,3,2.382343
10.360445,4,2.38531
22.341046,4,2.388317
-11.639555,26,2.404043
43.249658,3,2.406318
75.802397,3,2.408619
-73.658954,100,2.466241
27.236784,3,2.468516
48.169571,3,2.470899
-7.639555,22,2.484146
27.236784,3,2.486484
49.998319,3,2.488761
27.236784,3,2.490983
-3.0,3,2.49313
-18.639555,33,2.512839
29.107274,3,2.515179
81.235181,3,2.517476
29.107274,3,2.519817
43.249658,3,2.52208
-3.0,3,2.524248
-22.0,22,2.53737
48.169571,3,2.539749
27.236784,3,2.542008
-3.366916,5,2.545529
27.236784,3,2.547779
0.360445,14,2.556557
27.236784,3,2.558802
48.169571,3,2.561094
4.360445,10,2.567626
-9.366916,11,2.574572
-4.639555,19,2.586167
48.169571,3,2.58847
48.169571,3,2.590784
28.240607,3,2.593257
-20.0,20,2.605207
-1.353333,3,2.607705
28.240607,3,2.61017
28.240607,3,2.612531
43.249658,3,2.614806
48.169571,3,2.619266
10.835921,3,2.621541
-3.0,4,2.624538
-45.639555,60,2.659286
43.249658,3,2.661633
-8.639555,23,2.675458
48.169571,3,2.677887
-17.0,17,2.688028
48.169571,3,2.690439
22.341046,3,2.692712
75.802397,3,2.695018
-4.639555,19,2.706639
43.249658,3,2.708929
28.240607,3,2.711251
-1.366916,3,2.713619
27.236784,3,2.715925
29.107274,3,2.718354
43.249658,3,2.720636
29.107274,3,2.722961
48.169571,3,2.725258
-2.353333,4,2.728243
10.835921,3,2.730501
48.169571,3,2.732903
-1.366916,3,2.735258
-60.0,60,2.769796
43.249658,3,2.772168
48.169571,3,2.774569
29.107274,3,2.776913
23.475192,3,2.779171
22.341046,3,2.7814
-2.0,3,2.78371
-4.0,4,2.78654
-20.0,20,2.79836
12.840607,3,2.800746
-18.639555,33,2.820147
