#{"t_start": 1745977461.2673457, "env_id": "None"}
r,l,t
9.607728,3,0.016689
-5.0,5,0.020079
-23.595794,25,0.035196
9.178672,3,0.0376
9.607728,3,0.039975
18.242513,4,0.042839
-3.0,3,0.045004
-4.0,5,0.048501
19.242513,3,0.050801
8.178672,4,0.053947
58.098054,6,0.057967
8.092776,3,0.060168
-1.634557,3,0.062524
5.076968,17,0.072655
17.505378,4,0.075517
17.505378,4,0.078387
-2.0,3,0.080682
-84.74927,100,0.137647
-2.0,3,0.139974
30.300626,3,0.142544
8.178672,4,0.145501
10.006355,4,0.148318
-3.0,3,0.150482
29.832831,4,0.153325
9.178672,3,0.155719
9.607728,3,0.158154
8.607728,4,0.161151
10.006355,4,0.16395
-77.923032,100,0.220872
19.20785,3,0.223112
-2.634557,4,0.226136
-2.0,3,0.228492
-4.595794,6,0.232698
34.927749,3,0.235008
-6.0,6,0.238886
17.505378,4,0.241779
27.832831,6,0.245775
-74.74927,90,0.297145
9.607728,3,0.299562
9.178672,3,0.301988
19.242513,3,0.304333
28.832831,5,0.307775
-5.0,5,0.311092
-7.0,7,0.315514
29.749901,3,0.317815
-84.74927,100,0.37511
-2.0,3,0.377412
-2.0,3,0.379804
-13.0,14,0.388348
39.380486,4,0.391207
9.607728,3,0.393561
9.607728,3,0.396285
9.607728,3,0.398683
9.607728,3,0.401044
-2.0,3,0.403334
-3.0,4,0.406212
8.178672,4,0.409135
28.701882,3,0.411496
-8.0,9,0.417183
-2.0,3,0.419487
-2.0,3,0.421825
8.092776,3,0.424007
29.749901,3,0.426335
8.149737,3,0.428557
9.178672,3,0.430991
17.505378,4,0.433852
9.178672,3,0.436211
-9.0,9,0.441871
-3.0,4,0.444738
60.098054,4,0.447592
8.178672,4,0.450547
9.607728,3,0.452908
-2.0,3,0.455218
8.607728,4,0.458198
-3.0,3,0.460355
8.178672,4,0.463299
34.927749,3,0.465578
-77.923032,100,0.522601
22.588864,3,0.524899
17.505378,4,0.527759
-84.74927,100,0.599371
-5.0,5,0.602759
-8.0,8,0.607724
17.505378,4,0.610574
-23.595794,25,0.625358
-2.0,3,0.627646
7.149737,4,0.630586
-12.595794,14,0.639089
9.607728,3,0.641443
17.505378,4,0.644306
9.178672,3,0.647347
17.505378,4,0.650414
-3.0,3,0.652606
17.505378,4,0.655437
-7.0,7,0.659833
8.607728,4,0.662974
9.178672,3,0.66531
-2.595794,4,0.668235
-2.0,3,0.670507
8.607728,4,0.673398
17.505378,4,0.676428
-5.0,5,0.67978
-38.0,39,0.70261
-2.634557,3,0.70484
42.545091,3,0.707145
8.607728,4,0.710487
18.242513,4,0.713379
-2.0,3,0.715681
-33.0,34,0.735591
-3.0,3,0.746388
8.607728,4,0.749354
8.149737,3,0.751636
9.607728,3,0.754068
17.505378,4,0.757036
-2.0,3,0.759332
9.178672,3,0.761698
34.927749,3,0.763978
18.657125,3,0.766217
34.927749,3,0.768489
8.178672,4,0.771606
9.607728,3,0.774126
8.178672,4,0.77713
19.242513,3,0.779437
17.657125,4,0.782284
51.17262,3,0.784558
42.728436,3,0.786985
9.607728,3,0.789355
8.607728,4,0.792317
40.230397,4,0.795174
8.149737,3,0.797682
9.178672,3,0.80006
16.20785,6,0.804222
8.149737,3,0.806523
9.607728,3,0.808899
18.242513,4,0.811868
9.178672,3,0.814444
17.505378,4,0.817427
17.505378,4,0.820396
11.006355,3,0.822638
18.242513,4,0.825484
9.178672,3,0.827878
8.149737,3,0.83012
17.505378,4,0.833074
8.149737,3,0.835317
-84.74927,100,0.893249
-3.0,3,0.895659
9.178672,3,0.89807
17.505378,4,0.900928
51.17262,3,0.903295
-2.0,3,0.906276
-8.0,8,0.911506
9.607728,3,0.913914
17.211152,16,0.923771
8.149737,3,0.926095
-29.595794,31,0.944865
8.092776,3,0.947093
8.149737,3,0.949322
-4.0,4,0.952049
9.178672,3,0.95453
16.505378,5,0.958163
-3.0,3,0.960321
-84.74927,100,1.01872
28.701882,3,1.02115
34.927749,3,1.023451
-2.0,3,1.025763
17.505378,4,1.028614
34.927749,3,1.030937
