#{"t_start": 1745976830.6628728, "env_id": "None"}
r,l,t
-79.428408,100,0.069195
-79.428408,100,0.126281
-79.428408,100,0.183651
-79.428408,100,0.240597
-79.428408,100,0.298339
17.571592,3,0.300704
17.571592,3,0.303042
-98.48826,100,0.359902
-100.0,100,0.416774
-100.0,100,0.473538
17.571592,3,0.475882
-100.0,100,0.532396
7.505171,3,0.534666
17.571592,3,0.536978
7.066421,3,0.539224
-98.48826,100,0.600582
-98.48826,100,0.657203
-100.0,100,0.714007
-98.48826,100,0.770677
-100.0,100,0.827517
-100.0,100,0.883918
-100.0,100,0.940499
-79.428408,100,0.997478
17.571592,3,0.999853
-79.428408,100,1.062324
17.571592,3,1.064732
-100.0,100,1.121421
-79.428408,100,1.178474
-100.0,100,2.045419
-2.0,3,2.047879
-100.0,100,2.104008
17.571592,3,2.106312
-100.0,100,2.162458
-98.48826,100,2.218812
17.571592,3,2.221134
7.505171,3,2.223337
-100.0,100,2.279551
17.571592,3,2.281874
17.571592,3,2.284144
-100.0,100,2.341596
-100.0,100,2.401799
-100.0,100,2.46293
-100.0,100,2.521183
-2.0,3,2.523628
-79.428408,100,2.581933
17.571592,3,2.58431
-100.0,100,2.642834
7.505171,3,2.645113
17.571592,3,2.655027
-100.0,100,2.712869
-2.0,3,2.715209
17.571592,3,2.717797
6.505171,4,2.72062
-2.0,3,2.72295
17.571592,3,2.725252
-100.0,100,2.782742
17.571592,3,2.785133
17.571592,3,2.787486
17.571592,3,2.78982
-98.48826,100,2.848336
-100.0,100,2.906629
17.571592,3,2.90901
-2.0,3,2.911402
17.571592,3,2.913751
17.571592,3,2.916136
-98.48826,100,2.974876
-79.428408,100,3.034857
-2.0,3,3.037229
17.571592,3,3.039578
-98.48826,100,3.097986
-100.0,100,3.156605
-100.0,100,4.044668
-2.0,3,4.047524
-100.0,100,4.106622
17.571592,3,4.108998
7.505171,3,4.11129
7.505171,3,4.113579
-2.0,3,4.115959
17.571592,3,4.118332
7.505171,3,4.120596
17.571592,3,4.12299
17.571592,3,4.125336
-100.0,100,4.183568
7.505171,3,4.18584
17.571592,3,4.188183
-100.0,100,4.246407
7.505171,3,4.248677
17.571592,3,4.251026
-100.0,100,4.309481
17.571592,3,4.31185
-100.0,100,4.370568
17.571592,3,4.372967
-100.0,100,4.431207
-100.0,100,4.489506
17.571592,3,4.491894
17.571592,3,4.494281
17.571592,3,4.496642
-100.0,100,4.554811
-2.0,3,4.557189
-2.0,3,4.559554
17.571592,3,4.591763
-100.0,100,4.642004
17.571592,3,4.643911
-100.0,100,4.692233
17.571592,3,4.694167
-3.0,4,4.705859
17.571592,3,4.708257
17.571592,3,4.710626
7.505171,3,4.712877
7.505171,3,4.715197
17.571592,3,4.717572
-100.0,100,4.776125
-100.0,100,4.83304
17.571592,3,4.835377
17.571592,3,4.837677
-100.0,100,4.894436
17.571592,3,4.896774
7.505171,3,4.89901
-100.0,100,4.956796
-2.0,3,4.959188
17.571592,3,4.961519
-100.0,100,5.019283
17.571592,3,5.021896
-2.0,3,5.024356
-100.0,100,5.083093
17.571592,3,5.085549
-100.0,100,5.141817
17.571592,3,5.144527
7.505171,3,5.14677
17.571592,3,5.154789
-100.0,100,5.210993
7.505171,3,5.213208
-100.0,100,5.269381
-100.0,100,5.325545
17.571592,3,5.327885
-2.0,3,5.330216
-2.0,3,5.332504
-100.0,100,6.320884
7.505171,3,6.323258
17.571592,3,6.325591
-100.0,100,6.383035
17.571592,3,6.385347
-100.0,100,6.442419
-2.0,3,6.444734
7.505171,3,6.446949
-2.0,3,6.449246
-100.0,100,6.507217
-100.0,100,6.564575
7.505171,3,6.566827
-100.0,100,6.625253
17.571592,3,6.627545
7.505171,3,6.629734
-100.0,100,6.686083
-2.0,3,6.688405
17.571592,3,6.690692
7.505171,3,6.692947
-100.0,100,6.748959
-100.0,100,6.805621
7.505171,3,6.807906
17.571592,3,6.810235
-100.0,100,6.86703
17.571592,3,6.869331
7.505171,3,6.87154
7.505171,3,6.873766
-100.0,100,6.930648
-100.0,100,6.987772
17.571592,3,6.990073
17.571592,3,6.992362
-100.0,100,7.048983
17.571592,3,7.051303
7.505171,3,7.053516
17.571592,3,7.055827
-2.0,3,7.058168
7.505171,3,7.064193
17.571592,3,7.066546
-2.0,3,7.068861
17.571592,3,7.071167
17.571592,3,7.07378
17.571592,3,7.076241
-2.0,3,7.078606
-100.0,100,7.135448
17.571592,3,7.13775
17.571592,3,7.140053
-2.0,3,7.142448
-100.0,100,7.199719
-100.0,100,7.256535
17.571592,3,7.258903
7.505171,3,7.261119
7.505171,3,7.263333
17.571592,3,7.265657
-100.0,100,7.322268
17.571592,3,7.324558
-2.0,3,7.326961
-100.0,100,7.383728
17.571592,3,7.386051
17.571592,3,7.388355
17.571592,3,7.390672
-100.0,100,7.447179
7.505171,3,7.449388
-100.0,100,8.323921
17.571592,3,8.326674
-100.0,100,8.383845
17.571592,3,8.386146
-100.0,100,8.442694
-2.0,3,8.444989
-100.0,100,8.500835
17.571592,3,8.503148
-100.0,100,8.559699
-2.0,3,8.561995
7.505171,3,8.564185
-2.0,3,8.566507
-100.0,100,8.622441
7.505171,3,8.624642
7.505171,3,8.626848
-100.0,100,8.682851
-2.0,3,8.685157
17.571592,3,8.687433
17.571592,3,8.689708
-100.0,100,8.746161
-100.0,100,8.801993
17.571592,3,8.80429
-2.0,3,8.806601
17.571592,3,8.808871
-100.0,100,8.865
-100.0,100,8.921048
17.571592,3,8.923342
17.571592,3,8.925617
7.505171,3,8.9335
17.571592,3,8.935837
-2.0,3,8.938136
17.571592,3,8.940418
-100.0,100,8.996902
7.505171,3,8.999149
17.571592,3,9.001452
17.571592,3,9.003792
17.571592,3,9.006102
17.571592,3,9.008415
-100.0,100,9.064814
17.571592,3,9.06715
-2.0,3,9.069439
-100.0,100,9.125539
17.571592,3,9.127892
-2.0,3,9.130221
-100.0,100,9.186395
7.505171,3,9.188615
17.571592,3,9.19089
-2.0,3,9.19317
-2.0,3,9.195453
17.571592,3,9.197743
-2.0,3,9.200026
-100.0,100,9.256131
7.505171,3,9.258343
17.571592,3,9.260592
-100.0,100,9.316511
7.505171,3,9.318739
17.571592,3,9.321007
17.571592,3,9.323283
7.505171,3,9.376605
7.505171,3,9.37845
7.505171,3,9.380193
17.571592,3,9.383591
-100.0,100,9.430207
-100.0,100,9.495219
17.571592,3,9.497688
7.505171,3,9.499949
-100.0,100,9.555979
-100.0,100,10.648902
17.571592,3,10.651352
-2.0,3,10.653669
17.571592,3,10.655987
17.571592,3,10.658302
-100.0,100,10.715195
-100.0,100,10.771934
-100.0,100,10.828422
-100.0,100,10.885021
-100.0,100,10.942911
17.571592,3,10.945348
-100.0,100,11.006193
-100.0,100,11.064384
-100.0,100,11.12239
-100.0,100,11.18095
-100.0,100,11.239111
-100.0,100,11.297193
17.571592,3,11.299587
-100.0,100,11.357626
17.571592,3,11.360045
7.505171,3,11.369418
17.571592,3,11.371843
-100.0,100,11.430137
-100.0,100,11.488584
-2.0,3,11.490999
-100.0,100,11.549342
-100.0,100,11.60772
17.571592,3,11.610115
17.571592,3,11.612631
17.571592,3,11.614989
-100.0,100,11.674869
-2.0,3,11.677455
7.505171,3,11.67977
-100.0,100,11.739524
7.505171,3,11.741895
17.571592,3,11.744281
-100.0,100,11.804129
-100.0,100,12.747837
17.571592,3,12.750303
-100.0,100,12.807068
-100.0,100,12.864692
-2.0,3,12.867128
17.571592,3,12.869497
7.505171,3,12.873538
-100.0,100,12.931168
-2.0,3,12.933607
17.571592,3,12.935925
17.571592,3,12.938232
17.571592,3,12.940517
17.571592,3,12.942857
-100.0,100,12.999926
17.571592,3,13.002358
17.571592,3,13.004651
-100.0,100,13.061773
17.571592,3,13.064195
-2.0,3,13.066595
7.505171,3,13.068824
-100.0,100,13.125901
17.571592,3,13.128314
7.505171,3,13.130627
17.571592,3,13.132929
17.571592,3,13.135255
7.505171,3,13.137501
-100.0,100,13.194704
-2.0,3,13.197094
17.571592,3,13.199392
-100.0,100,13.256156
-100.0,100,13.313124
17.571592,3,13.3158
17.571592,3,13.31814
7.505171,3,13.320385
-100.0,100,13.37764
-100.0,100,13.434733
-2.0,3,13.437162
17.571592,3,13.439499
-100.0,100,13.496216
-100.0,100,13.553123
-100.0,100,13.609822
7.505171,3,13.612185
-2.0,3,13.614519
7.505171,3,13.626416
-100.0,100,13.683589
-2.0,3,13.686037
17.571592,3,13.688358
-100.0,100,13.745526
17.571592,3,13.747921
-100.0,100,13.805244
-100.0,100,13.864005
17.571592,3,13.866487
-100.0,100,14.773626
-2.0,3,14.776124
-2.0,3,14.7785
7.505171,3,14.780724
17.571592,3,14.783044
-2.0,3,14.785389
17.571592,3,14.787727
-100.0,100,14.844562
17.571592,3,14.846924
-100.0,100,14.905022
-100.0,100,14.963775
-100.0,100,15.022481
17.571592,3,15.024894
-100.0,100,15.084013
7.505171,3,15.086335
7.505171,3,15.088604
-2.0,3,15.090992
-100.0,100,15.149506
7.505171,3,15.151816
17.571592,3,15.154207
-2.0,3,15.156577
-2.0,3,15.16294
-2.0,3,15.164847
-100.0,100,15.213361
-2.0,3,15.215258
-2.0,3,15.217104
-100.0,100,15.276871
-100.0,100,15.335308
17.571592,3,15.33772
7.505171,3,15.340036
-100.0,100,15.399926
17.571592,3,15.402446
-100.0,100,15.464468
-100.0,100,15.524714
-100.0,100,15.585818
17.571592,3,15.588298
-100.0,100,15.646674
17.571592,3,15.649052
17.571592,3,15.651404
17.571592,3,15.653714
-100.0,100,15.71101
17.571592,3,15.713332
7.505171,3,15.715552
-100.0,100,15.775548
-100.0,100,15.83359
-2.0,3,15.835979
7.505171,3,15.843638
-2.0,3,15.846026
7.505171,3,15.848309
17.571592,3,15.85068
-100.0,100,15.908783
17.571592,3,15.911159
7.505171,3,15.913426
-100.0,100,15.972084
17.571592,3,15.974468
7.505171,3,15.976747
17.571592,3,15.979123
-100.0,100,16.037134
7.505171,3,16.039472
-100.0,100,16.926961
17.571592,3,16.929486
7.505171,3,16.931777
-100.0,100,16.990542
-100.0,100,17.048768
17.571592,3,17.051142
-100.0,100,17.109962
-2.0,3,17.112379
-100.0,100,17.170628
17.571592,3,17.173103
7.505171,3,17.175402
-2.0,3,17.177766
17.571592,3,17.180123
17.571592,3,17.182526
17.571592,3,17.18491
-100.0,100,17.242944
7.505171,3,17.245193
-2.0,3,17.247558
-100.0,100,17.305315
-100.0,100,17.364776
-100.0,100,17.422452
17.571592,3,17.424802
7.505171,3,17.427052
-100.0,100,17.489862
-100.0,100,17.54759
7.505171,3,17.550104
