#{"t_start": 1745977309.7449207, "env_id": "None"}
r,l,t
77.746286,4,0.01323
0.663625,4,0.01626
28.628953,4,0.019239
40.209685,4,0.022202
39.563152,6,0.026274
21.566308,4,0.02926
-5.0,5,0.032621
5.387386,4,0.035579
49.186831,4,0.038568
23.786086,4,0.041553
15.639713,4,0.044437
-100.0,100,0.10191
3.594685,9,0.107769
44.531546,4,0.110739
-100.0,100,0.16735
-98.609835,100,0.224161
-4.0,4,0.226916
26.637251,4,0.229861
21.096864,4,0.232833
52.060762,4,0.235751
-2.177134,4,0.238701
-1.39783,4,0.241637
-25.0,25,0.25628
1.539185,4,0.259194
24.83072,4,0.262089
8.099886,4,0.264986
1.102317,4,0.26782
-100.0,100,0.325069
-7.0,7,0.32953
62.176989,4,0.332497
15.747247,4,0.33543
-72.0,72,0.376467
-8.0,8,0.381475
24.83072,4,0.384396
-73.223205,100,0.441519
14.112359,4,0.444579
-100.0,100,0.501358
-100.0,100,0.558656
0.663625,4,0.561728
-5.0,5,0.565299
-0.131777,4,0.568543
-1.03329,6,0.572751
22.776795,4,0.575891
28.486402,4,0.579007
-91.586439,100,0.647053
27.761775,4,0.650183
-11.0,11,0.656956
26.637251,4,0.659888
8.090565,4,0.662846
-7.0,7,0.667316
19.218309,4,0.670265
15.796273,4,0.673222
13.926257,4,0.67611
-2.535426,4,0.67906
10.482954,4,0.681911
29.874638,4,0.684812
-1.473105,4,0.687644
24.83072,4,0.690538
28.35086,5,0.694149
10.068068,4,0.697071
20.738777,4,0.699956
22.776795,4,0.702899
24.83072,4,0.705794
-91.586439,100,0.762789
29.548721,4,0.76576
25.256745,4,0.768688
-7.0,7,0.773198
66.509132,4,0.776163
31.457888,4,0.779047
-5.0,5,0.782379
-2.146889,4,0.785404
44.200014,4,0.788519
1.827718,4,0.791422
-91.586439,100,0.848728
-4.0,4,0.851771
-1.85628,4,0.854946
-0.177367,4,0.857907
-34.0,34,0.87896
34.438879,4,0.882365
27.761775,4,0.885729
44.673225,4,0.889124
23.786086,4,0.892349
28.550503,4,0.895443
0.102317,5,0.899158
36.027527,4,0.902133
31.457888,4,0.905065
-0.362742,4,0.908005
-0.570117,100,0.980372
43.731811,4,0.983353
6.622488,5,0.986878
43.731811,4,0.989821
0.96671,4,0.992727
-0.362742,4,0.995636
33.074383,4,0.998597
-45.0,45,1.024603
13.890878,5,1.028061
10.75028,4,1.030981
49.186831,4,1.033929
1.539185,4,1.03686
-5.0,5,1.040241
-100.0,100,1.097021
-11.566201,22,1.110038
4.72168,4,1.113117
-100.0,100,1.170346
51.342738,4,1.173339
19.566863,4,1.176301
15.639713,4,1.179118
27.410371,4,1.182065
-22.0,22,1.19497
-24.0,24,1.214184
34.282494,4,1.217153
-2.484928,4,1.22
3.413227,4,1.222985
7.712086,4,1.225926
-2.244338,6,1.229903
-100.0,100,2.104362
8.090565,4,2.107464
-100.0,100,2.164518
-7.0,7,2.169018
-16.617224,19,2.180436
-98.609835,100,2.237503
26.637251,4,2.240474
3.853718,4,2.243363
8.477368,4,2.246212
-1.10017,4,2.249056
-1.664334,4,2.252009
-3.0,100,2.323513
-4.0,4,2.326304
-100.0,100,2.383379
-0.327098,4,2.388202
10.095822,4,2.391045
27.761775,4,2.39418
31.440353,4,2.397173
18.29044,4,2.400062
55.41255,4,2.403049
-100.0,100,2.461771
11.459177,4,2.465179
8.090565,4,2.468452
-29.0,29,2.486306
27.761775,4,2.48941
51.384885,4,2.492408
12.552411,4,2.495632
49.186831,4,2.498616
-17.0,17,2.508744
14.890878,4,2.511628
14.805499,100,2.568628
18.25003,4,2.571679
1.827718,4,2.574602
-4.405315,17,2.584883
-100.0,100,2.643032
-4.310565,6,2.647274
5.479232,4,2.650208
8.477368,4,2.653101
66.509132,4,2.656055
41.563152,4,2.658981
30.904732,4,2.661871
31.457888,4,2.664782
-2.754164,4,2.66773
-7.121319,16,2.677347
-66.0,66,2.714957
-100.0,100,2.771367
0.102317,5,2.774794
19.672151,4,2.777733
-5.0,5,2.781085
19.672151,4,2.784007
-1.230327,4,2.787157
-46.0,46,2.814709
-9.86327,12,2.822096
-0.59109,4,2.825144
-91.586439,100,2.88188
3.853718,4,2.884809
-100.0,100,2.942734
-15.0,15,2.952431
5.387386,4,2.959341
-13.0,13,2.968173
-1.59109,5,2.972285
-5.0,5,2.975919
-100.0,100,3.033422
8.823865,4,3.036488
-100.0,100,3.093214
3.879725,4,3.096111
-1.85628,4,3.099467
25.156934,4,3.102418
-89.566201,100,3.159441
-20.0,20,3.171338
51.384885,4,3.174332
21.560923,4,3.177322
7.712086,4,3.18029
-4.0,4,3.183058
-100.0,100,3.240089
1.827718,4,3.243053
49.186831,4,3.246011
27.761775,4,3.249007
-47.0,47,3.276214
15.753261,4,3.279312
15.553711,5,3.282853
14.112359,4,3.285806
20.838534,4,3.288763
-2.0,100,4.173671
13.759805,4,4.176704
-2.326075,4,4.179718
-4.0,4,4.182575
3.879725,4,4.185467
5.208328,4,4.188313
-100.0,100,4.245205
35.216078,4,4.248112
3.879725,4,4.251004
-4.0,100,4.322618
34.282494,4,4.325598
-100.0,100,4.382457
8.823865,4,4.385402
18.25003,4,4.388493
52.060762,4,4.391421
13.728944,4,4.394252
50.23643,4,4.39723
50.507664,4,4.400205
49.213116,4,4.403156
11.109192,4,4.406044
17.817915,4,4.408906
-96.244338,100,4.466002
18.29044,4,4.468901
0.0,100,4.540551
15.747247,4,4.543489
20.838534,4,4.546587
-43.0,43,4.571281
-1.113604,4,4.574199
13.903945,10,4.580572
52.060762,4,4.5835
20.031411,4,4.586454
-61.0,61,4.621282
50.23643,4,4.624275
0.102317,5,4.627715
17.602034,4,4.630684
-2.177134,4,4.636847
4.72168,4,4.639883
29.874638,4,4.642766
34.282494,4,4.645694
20.716418,4,4.648644
-100.0,100,4.705466
41.563152,4,4.708399
-100.0,100,4.782324
49.186831,4,4.784886
-0.59109,4,4.787314
-100.0,100,4.83446
19.566863,4,4.836865
11.881539,4,4.848441
0.903945,23,4.862203
-23.0,23,4.875672
26.637251,4,4.878778
-1.514319,4,4.882066
89.134599,4,4.885298
15.796273,4,4.888533
-100.0,100,4.946293
-100.0,100,5.003621
8.823865,4,5.007138
-82.548959,100,5.064949
-100.0,100,5.1243
19.566863,4,5.127406
32.117822,4,5.130322
-0.327098,4,5.133285
-100.0,100,5.189817
-14.0,14,5.198192
-0.327098,4,5.20241
-2.326075,4,5.205613
-15.0,15,5.215023
19.672151,4,5.218181
-7.121319,16,5.228347
-100.0,100,5.287607
-6.0,6,5.291747
34.282494,4,5.299356
-99.0,99,5.358847
-43.0,43,5.384961
25.752971,4,5.388003
-22.0,22,5.401437
-2.541976,4,5.40433
1.827718,4,5.407329
-80.163108,100,5.465967
11.105991,8,5.47105
-100.0,100,5.52796
34.693305,4,5.531155
-24.517046,39,6.385871
44.200014,4,6.388928
-5.0,5,6.392252
-0.570117,100,6.465344
-2.0,100,6.53829
-100.0,100,6.596074
12.63202,4,6.599107
-100.0,100,6.656884
11.297343,5,6.660452
19.566863,4,6.663397
9.759954,4,6.666345
38.051792,4,6.669261
64.278157,4,6.672217
-1.327098,5,6.675686
44.555048,4,6.67867
-3.213451,4,6.681647
55.41255,4,6.68463
-13.0,13,6.69254
10.552411,6,6.696666
-60.49455,100,6.754251
21.566308,4,6.757234
-33.0,33,6.776488
-0.59109,4,6.779474
14.890878,4,6.782344
-1.327098,5,6.785815
-1.39783,4,6.788765
-100.0,100,6.845427
5.479232,4,6.848373
-1.0,100,6.92008
-82.548959,100,6.980723
-16.0,16,6.990574
-4.0,100,7.063698
-5.581477,8,7.069236
18.29044,4,7.072199
-1.85628,4,7.075234
12.63202,4,7.078259
-35.0,35,7.099044
11.603945,4,7.102
-18.827814,21,7.114692
34.693305,4,7.117686
-80.111547,100,7.176347
-5.0,5,7.179724
26.637251,4,7.182722
6.610044,6,7.186779
-12.517046,27,7.202933
52.500534,4,7.205992
6.78477,5,7.2096
11.881539,4,7.212552
33.818057,4,7.215543
41.563152,4,7.218491
61.329325,4,7.221538
3.145703,4,7.22452
23.275455,4,7.22742
49.186831,4,7.230412
20.780815,6,7.234499
-0.362742,4,7.237512
44.555048,4,7.240554
82.248422,4,7.243536
-11.0,11,7.250464
6.78477,5,7.254096
1.479232,8,7.259436
53.947464,4,7.262456
-2.541976,4,7.26539
-1.0,100,7.339122
0.96671,4,7.342175
-1.696917,4,7.345073
52.060762,4,7.348035
38.368594,4,7.350997
-1.581477,4,7.353945
-3.310565,5,7.357739
-60.49455,100,7.416392
36.698599,4,7.41941
18.25003,4,7.422503
-100.0,100,7.483961
-4.0,4,7.486809
64.278157,4,7.489867
55.41255,4,7.49287
30.8578,4,7.495974
6.78477,5,7.499576
-3.310565,5,7.503341
-12.0,12,7.510817
