#{"t_start": 1745978148.5512853, "env_id": "None"}
r,l,t
4.401413,5,0.017144
0.548201,5,0.020877
0.755801,5,0.024485
58.231314,6,0.028631
4.125351,5,0.032234
-1.709936,5,0.035795
39.765787,5,0.039472
-2.596094,5,0.043147
74.976829,5,0.046765
1.536198,5,0.050342
18.474157,5,0.053901
78.796155,5,0.057493
27.266848,5,0.061181
-16.63001,18,0.072193
-1.709936,5,0.075953
4.630681,5,0.07957
5.320378,5,0.08318
74.384098,5,0.086786
-100.0,100,0.145188
55.743114,5,0.148913
-100.0,100,0.208667
-9.0,9,0.214406
-5.0,5,0.217698
3.981779,5,0.221289
54.414975,5,0.224895
20.76335,5,0.228558
72.945706,5,0.232174
15.459934,5,0.235914
17.341638,5,0.239544
-0.633284,5,0.243226
-0.253894,5,0.246793
27.136696,5,0.25044
-11.0,11,0.257272
-1.97595,5,0.26094
45.060603,5,0.264561
6.347017,5,0.268295
10.549588,5,0.271931
17.643116,8,0.277331
2.727411,5,0.280932
-0.763443,5,0.284544
-2.43443,5,0.288189
6.347017,5,0.291807
14.406871,5,0.295427
78.300871,5,0.299221
-2.342928,6,0.304093
66.615183,5,0.307683
73.074498,5,0.311309
-2.11329,5,0.314965
-2.365812,5,0.318727
-4.212441,5,0.322296
5.999683,5,0.325718
30.30835,5,0.329198
26.314731,5,0.33276
4.975486,5,0.336602
63.370604,5,0.340245
16.8372,5,0.343891
-12.0,12,0.351514
-3.124097,5,0.355197
-0.154983,5,0.358882
31.146404,5,0.362561
13.251257,5,0.366129
-100.0,100,0.42523
-100.0,100,0.482502
1.022994,5,0.486146
1.209474,5,0.489806
5.817405,5,0.49323
15.660032,5,0.49681
77.682435,5,0.50052
11.895566,5,0.504066
7.542877,5,0.507488
-2.540435,5,0.511172
57.811048,5,0.514817
-1.327739,6,0.518971
44.61293,6,0.52326
-2.11329,5,0.526917
-2.733135,5,0.530568
18.856202,5,0.534174
4.836513,5,0.537847
-2.40071,5,0.541352
14.406871,5,0.544962
27.266848,5,0.548585
11.889285,5,0.552195
41.528169,5,0.556065
6.645252,5,0.560244
-3.192189,6,0.564654
14.985505,5,0.568376
-37.101829,56,0.601104
-7.0,7,0.605728
-47.173856,100,0.665281
0.947748,5,0.669339
-8.329927,12,0.678125
14.639124,5,0.682035
-8.0,8,0.687197
9.385398,5,0.69117
-3.578635,5,0.69487
71.276933,5,0.698788
-2.157271,5,0.702594
1.318286,5,0.706402
14.140793,5,0.710103
0.755801,5,0.713685
4.295398,5,0.717341
83.453141,5,0.720965
0.301479,5,0.724725
-1.731625,6,0.729181
24.263251,5,0.732753
53.888269,5,0.736364
40.440661,6,0.740655
-1.092856,6,0.745081
-2.080871,5,0.748813
-2.119705,5,0.758817
-2.275095,6,0.763402
39.492499,6,0.767663
45.060603,5,0.771305
40.557036,5,0.774992
-5.0,5,0.778438
-5.338919,7,0.783052
56.517814,5,0.786622
-2.080871,6,0.791088
18.927913,5,0.794598
-1.067171,5,0.798342
1.175012,5,0.802249
-2.604475,5,0.805804
-1.476748,5,0.809408
-2.105567,5,0.81304
41.440661,5,0.816639
8.98102,5,0.820234
-1.615904,5,0.82388
17.731971,5,0.827654
-1.092856,6,0.832053
0.548201,5,0.835984
1.962524,5,0.839637
42.025443,5,0.843202
1.022994,5,0.846852
-100.0,100,0.904386
65.654047,5,0.908046
82.413836,5,0.911656
-5.306248,7,0.916294
-3.505831,5,0.919864
73.749234,5,0.923551
-2.452856,6,0.92801
0.682229,5,0.931625
14.213885,5,0.935191
-2.083769,5,0.938892
53.390095,5,0.942505
-2.11085,6,0.946977
-3.192189,6,0.95136
58.70371,5,0.954906
8.390556,5,0.958504
-2.11329,5,0.962164
-2.105567,5,0.966514
-2.019545,5,0.970114
-1.476748,5,0.973687
12.222653,5,0.977398
18.921616,5,0.980972
44.610145,5,0.984624
-39.0,39,1.007874
14.406871,5,1.011594
4.389891,5,1.015251
2.4114,5,1.018991
9.385398,5,1.022635
7.7049,6,1.027013
12.225494,5,1.030745
0.548201,5,1.034303
-1.067171,5,1.037997
18.856202,5,1.041858
8.206307,5,1.045484
23.510784,5,1.049253
14.236812,5,1.053096
33.077178,5,1.056833
-1.395308,5,1.060621
-3.320193,5,1.064384
10.751451,5,1.068329
-3.709936,7,1.073337
47.834264,5,1.078329
-1.149581,5,1.082365
4.534374,5,1.086416
-100.0,100,1.145063
-1.709936,5,1.148847
52.290331,5,1.15249
-1.611481,5,1.156
25.592723,5,1.159687
13.071633,5,1.163338
1.811779,5,1.166777
0.329051,5,1.170426
-2.059903,5,1.174087
-97.590629,100,1.233001
32.912523,6,1.23711
3.759427,5,1.240978
63.370604,5,1.244623
-2.11329,5,1.24851
-2.241662,6,1.253091
14.213885,5,1.256654
8.272245,5,1.260303
11.722967,5,1.264055
-100.0,100,1.322775
-100.0,100,2.263048
26.240618,5,2.266895
-1.092856,6,2.271415
19.969045,5,2.275046
-1.802292,5,2.278799
-2.192189,5,2.282629
-2.11329,5,2.286492
53.335681,5,2.290192
-2.11329,5,2.293901
4.37226,5,2.297535
8.275707,5,2.30106
0.319268,5,2.304681
62.568367,5,2.308284
