#{"t_start": 1745977361.9086912, "env_id": "None"}
r,l,t
32.722854,4,0.016081
5.212946,4,0.019232
1.074912,4,0.022255
2.013392,4,0.025361
56.185893,5,0.029038
-4.0,4,0.031885
4.273908,4,0.034953
0.71043,4,0.038087
11.611027,4,0.041132
58.077709,4,0.044142
9.155352,5,0.047686
38.123581,4,0.050639
61.164731,4,0.053715
32.722854,4,0.056762
-2.336637,4,0.059689
-2.940462,5,0.06319
57.77611,4,0.066204
11.228491,6,0.070495
11.228491,6,0.074641
36.123581,6,0.078803
2.013392,4,0.081808
-8.0,8,0.087153
38.613684,4,0.090113
62.028295,4,0.093158
62.895193,4,0.096196
58.633828,5,0.099972
-87.0,87,0.15133
-0.437187,4,0.154363
-6.0,6,0.158262
0.350526,4,0.161331
-73.0,73,0.203493
5.908325,4,0.206465
39.94071,4,0.209387
29.383627,4,0.212332
2.968669,4,0.215355
-100.0,100,0.274352
57.04943,4,0.277452
60.27414,4,0.280493
2.47043,4,0.283613
2.47043,4,0.286687
61.310111,5,0.290321
37.095239,4,0.293315
0.71043,4,0.296424
59.500096,4,0.299589
18.088672,4,0.302588
-1.627975,5,0.30632
58.249079,4,0.309359
-5.0,5,0.312809
-0.437187,4,0.316095
63.499399,4,0.319146
-94.351018,100,0.378629
62.165417,4,0.381716
40.220502,4,0.384974
-1.940431,4,0.38785
-5.940462,8,0.393116
58.976923,4,0.396141
-0.288553,5,0.40005
-3.376444,4,0.402975
57.77611,4,0.406008
59.827499,4,0.409051
7.074839,4,0.41205
2.683253,4,0.415097
-98.384726,100,0.474428
40.220502,4,0.477513
9.115304,8,0.482853
-1.733601,4,0.489605
-16.0,16,0.499612
71.40151,4,0.502718
-9.0,9,0.508349
11.289839,4,0.511429
18.088672,4,0.514354
39.644384,4,0.517411
-90.482325,100,0.575024
2.360348,4,0.577973
-0.411325,4,0.581043
-45.0,45,0.607546
58.752966,4,0.610523
-100.0,100,0.669454
56.068198,5,0.673224
60.27414,4,0.676192
9.228491,8,0.681414
-0.514957,6,0.685477
31.795416,5,0.689158
-0.437187,4,0.692157
5.05883,4,0.69514
-12.017896,16,0.705184
-3.452232,8,0.710339
-38.627975,42,0.735225
4.68725,4,0.7382
64.828592,4,0.741162
-2.802067,5,0.744574
-0.288553,5,0.748288
52.381774,5,0.7519
0.547768,4,0.754811
32.378907,5,0.758471
1.968669,5,0.762021
-3.802067,6,0.766009
0.006273,4,0.768927
63.215313,4,0.771941
2.938774,4,0.7749
30.695699,4,0.777852
58.624503,4,0.780816
36.243009,5,0.784267
16.926057,4,0.787321
2.026176,18,0.798109
42.013013,4,0.801034
7.256896,6,0.805095
3.984705,4,0.807928
-1.437187,4,0.810814
56.278428,4,0.81611
2.694449,4,0.819119
9.591524,4,0.822079
-95.828317,100,0.879891
58.752966,4,0.882885
0.634942,4,0.885738
59.975709,4,0.888825
-4.0,4,0.891594
1.426726,4,0.894573
12.789581,14,0.903358
-0.857907,4,0.906321
9.395375,4,0.909291
58.438972,4,0.91224
-0.411529,4,0.915248
-13.0,13,0.92339
43.384852,4,0.926351
-2.220834,4,0.929216
3.642625,4,0.932173
2.341311,5,0.935793
-10.0,10,0.94224
-100.0,100,1.000455
-17.0,17,1.010875
-4.0,4,1.013639
6.170453,4,1.016557
-31.0,31,1.035378
-37.0,37,1.057039
0.634942,4,1.059906
1.382539,4,1.062773
61.968799,5,1.066313
62.125847,4,1.069303
2.013392,4,1.07231
2.669181,4,1.075354
34.386303,4,1.078309
40.220502,4,1.081782
63.132497,4,1.085003
0.350526,4,1.088152
60.067585,4,1.091164
33.880795,4,1.094141
57.185893,4,1.097122
58.624503,4,1.100086
37.48395,4,1.104207
58.278852,4,1.107206
-0.411529,4,1.110218
-20.0,20,1.122125
-0.882596,5,1.125894
6.918503,32,1.144998
-4.247294,6,1.148977
60.829171,4,1.152024
-14.245679,17,1.162381
-2.247294,4,1.16555
58.959562,4,1.16854
-16.743104,30,1.186269
4.705605,8,1.191457
0.634942,4,1.194321
32.722854,4,1.1973
52.772879,4,1.200242
18.23076,4,1.203112
0.711447,4,1.206312
37.1405,4,1.209292
1.256896,12,1.216704
-0.437187,4,1.219715
-8.0,8,1.224896
0.360348,6,1.228965
16.348017,4,1.231806
2.013392,4,1.2351
18.176967,4,1.238318
12.439689,4,1.241212
-23.549245,100,1.298596
-1.940431,4,1.301416
28.377763,4,1.304389
34.386303,4,1.307391
-0.411325,4,1.310438
