#{"t_start": 1745977508.453941, "env_id": "None"}
r,l,t
35.665449,6,0.015856
30.791454,4,0.0189
39.83765,4,0.021895
61.247082,4,0.024855
39.83765,4,0.027819
51.277027,5,0.031349
2.492112,4,0.034524
52.548407,4,0.037817
12.026872,6,0.041816
5.047599,4,0.044756
60.528437,4,0.047725
60.91868,4,0.050683
59.006999,4,0.053635
-94.523525,100,0.111174
-0.965337,4,0.114216
62.330221,4,0.117277
54.068649,4,0.12025
62.624086,4,0.12325
32.423872,4,0.126204
6.187121,4,0.129163
5.149493,4,0.132104
38.15253,5,0.135564
37.653827,4,0.138443
-0.036513,5,0.14217
48.147524,5,0.145787
63.852421,4,0.148753
-0.144632,4,0.151767
61.039188,5,0.155331
19.482554,4,0.158427
-1.482665,4,0.161541
59.985782,4,0.164489
-1.485104,4,0.167654
45.969152,4,0.170848
-0.825345,4,0.17387
10.857358,4,0.176927
59.009923,4,0.179983
5.0453,4,0.183197
5.17701,4,0.186277
-1.387637,4,0.189447
-87.489127,91,0.24513
61.85365,4,0.24825
-94.523525,100,0.306504
49.646327,4,0.30961
59.006999,4,0.312592
-17.255364,78,0.357373
-1.67414,5,0.361294
-1.93721,5,0.365098
2.119064,4,0.367971
4.008643,4,0.370876
4.953883,4,0.373899
76.212107,4,0.376863
59.985782,4,0.379856
29.816511,4,0.382793
3.539124,5,0.386275
61.797119,4,0.389219
42.356327,4,0.392128
16.879409,5,0.395581
-94.577124,100,0.452549
-1.467081,4,0.455611
0.689957,4,0.458529
11.060894,4,0.46153
11.060894,4,0.464578
35.480874,4,0.467557
9.032377,4,0.470509
38.575772,4,0.473447
25.506346,4,0.476642
59.974779,4,0.479689
5.695688,4,0.482618
57.142595,4,0.48562
9.336848,4,0.488508
17.879409,4,0.491387
0.984339,4,0.49431
-0.34428,4,0.497286
-12.489127,16,0.507213
0.836009,4,0.510208
27.257198,4,0.513176
-3.05,7,0.517764
59.985782,4,0.520818
-11.159382,14,0.529722
11.047831,4,0.532706
42.623096,4,0.535664
37.650228,4,0.538527
62.378527,4,0.541457
5.225539,4,0.544502
3.19356,4,0.547452
5.766051,4,0.550503
27.764343,4,0.553574
59.009923,4,0.556508
4.190922,4,0.559492
-2.429118,6,0.563626
4.0453,5,0.567244
-1.934198,13,0.575313
63.015971,4,0.578257
4.0453,4,0.581176
58.292105,4,0.584138
5.021082,4,0.587027
-8.159382,10,0.593462
32.423872,4,0.596425
58.803225,4,0.5995
-0.437708,4,0.602578
58.163533,4,0.605669
-8.523525,14,0.61438
-0.34428,4,0.617397
4.0453,5,0.621061
5.149493,4,0.623981
-1.745156,4,0.626977
0.754876,4,0.629905
7.21236,4,0.633001
-11.94504,16,0.64283
1.057543,4,0.651998
24.751125,4,0.654972
0.933061,5,0.658781
0.744636,60,0.693813
63.086139,4,0.696951
54.820357,4,0.700093
11.047831,4,0.703057
-9.144632,13,0.711331
61.039188,5,0.715001
-1.979188,4,0.718354
0.166844,4,0.721317
10.225532,4,0.724524
0.576746,4,0.727745
12.207339,4,0.730936
61.676652,4,0.733971
44.277475,4,0.736978
44.277475,4,0.740092
39.072878,5,0.743902
-0.825345,4,0.747131
4.953883,4,0.750319
59.717383,4,0.754773
7.141997,4,0.75805
-1.965337,5,0.76222
-0.036513,4,0.765232
0.576746,4,0.7685
27.764343,4,0.771749
4.696631,6,0.775819
59.734927,5,0.779414
5.793891,4,0.782415
24.751125,4,0.785504
30.197826,4,0.788468
38.42053,4,0.79146
4.108897,4,0.794544
11.830099,5,0.79796
-2.144632,6,0.802117
58.921334,5,0.805645
60.039188,6,0.809864
0.576746,4,0.812951
55.079516,4,0.816011
58.198683,4,0.818985
39.83765,4,0.822514
-0.856901,5,0.82629
9.241403,4,0.829249
55.793908,4,0.832315
-1.174721,4,0.835432
17.375898,4,0.838252
2.703346,4,0.841198
35.404738,4,0.844172
4.008643,4,0.847052
6.070476,4,0.850026
-1.482665,4,0.853099
76.212107,4,0.856066
62.320489,4,0.859162
57.893324,4,0.862102
27.726597,4,0.864993
5.695688,4,0.867942
9.060549,4,0.87087
61.174866,4,0.873859
5.766051,4,0.876816
32.665449,9,0.882778
61.24713,4,0.885784
1.469442,4,0.888778
42.623096,4,0.891727
1.469442,4,0.894713
36.15253,7,0.9001
6.070476,4,0.903125
-0.437708,4,0.906138
6.187121,4,0.909109
59.009923,4,0.912089
1.387699,4,0.915036
-1.979188,4,0.918067
-42.523525,48,0.946294
24.957449,4,0.949357
63.351136,4,0.952322
59.006999,4,0.955273
61.039188,5,0.958788
54.865475,4,0.96174
2.703903,4,0.964701
38.15252,5,0.968328
62.320489,4,0.971414
50.82984,4,0.974364
-1.482665,4,0.977457
0.207599,5,0.980942
61.661228,4,0.983981
-0.942457,6,0.988129
1.524765,4,0.991125
-0.969743,5,0.994762
4.008643,4,0.997665
-18.0,18,1.008439
21.260242,7,1.013064
61.43319,5,1.016642
5.250339,4,1.019615
1.387699,4,1.023732
-2.94504,7,1.028456
51.48246,4,1.031491
12.207339,4,1.034431
60.766919,4,1.037374
1.387699,4,1.040332
-96.487383,100,1.097946
3.301997,4,1.101041
56.928463,4,1.104066
-6.159382,9,1.110118
58.294706,4,1.113112
59.974779,4,1.116117
57.278466,4,1.119159
-0.467081,4,1.122253
37.650228,4,1.125158
15.160845,4,1.128162
6.187121,4,1.131101
3.290386,4,1.134057
-1.485104,4,1.137255
61.638241,4,1.140227
11.060894,4,1.143217
4.008643,5,1.146802
27.5386,4,1.149794
20.177357,4,1.152751
-1.729757,4,1.155801
59.985782,4,1.158726
62.487984,4,1.161808
-0.467081,4,1.164813
2.703346,4,1.167784
4.008643,4,1.170667
6.02164,4,1.173598
10.856649,4,1.176536
38.072878,6,1.181968
58.56256,4,1.184966
36.665449,5,1.188481
-100.0,100,1.245561
1.469442,4,1.24871
21.329347,4,1.251693
16.891333,6,1.255728
-94.577124,100,1.313083
3.89599,5,1.316723
-1.477954,4,1.319866
2.516785,4,1.322848
60.660781,5,1.326431
-0.34428,4,1.329597
21.329347,4,1.332571
10.856649,4,1.335537
-2.523525,8,1.340809
55.079516,4,1.343778
21.329347,4,1.346709
5.766051,4,1.349659
40.75901,4,1.352654
0.984339,4,1.355616
-1.482665,4,1.358697
-0.825345,4,1.361642
41.903588,4,1.364522
37.612215,4,1.367415
-6.159382,8,1.372811
27.764343,4,1.375866
4.341397,5,1.379463
-1.487383,5,1.383023
54.426691,4,2.299285
51.48246,4,2.302747
3.10834,5,2.306441
9.729802,4,2.309439
-0.467081,4,2.312484
0.9696,4,2.315469
19.258026,4,2.31852
38.42053,4,2.321675
35.404738,4,2.324638
59.974779,4,2.327619
-1.979188,4,2.330648
60.918861,4,2.333616
6.167568,4,2.336514
-22.0,22,2.349574
-0.394696,4,2.352537
60.270119,4,2.355642
-1.979188,4,2.358671
56.315643,4,2.361638
59.985782,4,2.364585
63.852421,4,2.367552
-0.467081,4,2.37055
59.009923,4,2.373565
16.418484,4,2.376497
-0.856901,5,2.38021
29.816511,4,2.383174
-27.0,27,2.39891
-0.394696,4,2.401878
11.567581,4,2.404847
51.48246,4,2.407865
