#{"t_start": 1745976965.969478, "env_id": "None"}
r,l,t
34.185836,5,0.015766
8.382001,5,0.019337
25.599975,7,0.024167
67.799255,5,0.027811
-0.724149,5,0.031474
-100.0,100,0.087702
3.575198,5,0.09126
-1.930868,5,0.09482
-100.0,100,0.151063
-100.0,100,0.207066
24.676664,5,0.210672
-56.0,56,0.24236
8.068311,5,0.245811
-53.0,53,0.275899
-77.0,77,0.319071
-6.0,6,0.323276
-100.0,100,0.379748
63.725997,7,0.384374
34.214739,5,0.387919
-100.0,100,0.443732
-100.0,100,0.499507
-100.0,100,0.555465
17.892533,5,0.559012
25.714966,5,0.562533
-91.0,91,0.613448
-10.67126,13,0.62154
-100.0,100,0.677349
11.151314,19,0.688571
-100.0,100,0.744475
-100.0,100,0.800107
15.439097,5,0.803682
-1.933189,5,0.807186
-100.0,100,0.863348
-10.0,10,0.869446
-1.907192,5,0.873003
-12.0,12,0.880232
5.849959,5,0.883784
-100.0,100,0.948899
-2.087067,5,0.95294
-1.930868,5,0.956483
17.030976,5,0.960025
-2.468429,5,0.963645
0.638428,5,0.96706
12.980109,5,0.970617
-100.0,100,1.026662
-100.0,100,1.08287
-28.826701,100,1.138965
68.265877,5,1.142559
2.123994,5,1.146121
12.798642,7,1.150741
-17.017369,21,1.162995
-2.151267,5,1.166559
9.485829,5,1.170044
-6.268044,7,1.174508
-100.0,100,2.052997
8.835818,5,2.056673
-100.0,100,2.113975
11.737894,5,2.1176
16.914756,5,2.121207
-1.907192,5,2.124835
12.056529,5,2.128393
-100.0,100,2.185997
-100.0,100,2.242781
-100.0,100,2.29988
-2.858157,5,2.303463
59.725997,11,2.310434
-3.487883,5,2.313893
-100.0,100,2.370919
-98.252105,100,2.427471
-100.0,100,2.484011
-78.146665,100,2.540973
-2.157271,5,2.544594
-1.974696,5,2.548126
-100.0,100,2.608834
-1.933189,5,2.612368
21.853457,5,2.616044
-100.0,100,2.672912
-100.0,100,2.729499
-0.833659,5,2.73301
-94.205104,100,2.789279
-77.348273,100,2.845965
-99.279594,100,2.90221
-100.0,100,2.958551
-100.0,100,3.014767
-100.0,100,3.071396
-100.0,100,3.128111
12.399847,5,3.131665
-93.083634,100,3.188169
-10.0,10,4.047355
-100.0,100,4.106454
-84.086215,100,4.163286
-43.0,43,4.188121
-100.0,100,4.244717
-100.0,100,4.302753
9.215229,5,4.306345
-100.0,100,4.364118
-63.221271,80,4.409357
-1.969501,5,4.412954
11.964114,5,4.416531
-30.926266,33,4.435871
-100.0,100,4.49358
-100.0,100,4.550189
-100.0,100,4.619388
-100.0,100,4.665809
-83.836844,100,4.712313
-100.0,100,4.758387
-100.0,100,4.804772
12.417597,5,4.81677
27.510884,5,4.820439
1.453122,5,4.823968
-3.596094,5,4.827489
-1.969501,5,4.83143
19.096203,5,4.835014
-100.0,100,4.891675
-100.0,100,4.947918
-100.0,100,5.004254
20.342189,5,5.007912
-100.0,100,5.0644
16.443926,5,5.067924
-100.0,100,5.124505
-100.0,100,5.180916
-100.0,100,5.237739
-100.0,100,5.294199
-100.0,100,5.350335
-2.151267,5,5.353989
-100.0,100,5.409973
-100.0,100,6.285663
-100.0,100,6.342972
17.766355,5,6.346604
-59.0,59,6.380104
-100.0,100,6.436118
-2.339191,6,6.440581
-2.087067,5,6.444264
16.377788,5,6.447829
-2.19506,6,6.452257
-7.197422,23,6.465958
-100.0,100,6.522108
-100.0,100,6.578388
-100.0,100,6.634374
34.185836,5,6.637938
-2.862831,5,6.641528
-100.0,100,6.697467
-100.0,100,6.753381
-2.828142,5,6.756908
-1.207827,5,6.760468
-100.0,100,6.821812
-100.0,100,6.87801
-100.0,100,6.934035
-100.0,100,6.990204
-81.0,81,7.036951
-2.087678,6,7.041431
-100.0,100,7.097449
46.958102,5,7.101035
-99.730939,100,7.157239
-2.157271,5,7.160834
-2.151267,5,7.164361
0.32923,5,7.167807
-98.643608,100,7.223904
-100.0,100,7.280106
21.853457,5,7.283695
-0.250075,5,7.287129
25.033615,2,7.288957
72.307192,5,7.292797
23.25817,14,7.301279
34.214739,5,7.3048
-8.0,8,7.309873
-100.0,100,7.366153
-3.015858,5,7.369697
-100.0,100,7.425866
-100.0,100,8.320777
-100.0,100,8.379905
87.012038,5,8.383649
-2.525515,5,8.387416
-100.0,100,8.446661
-4.323626,6,8.45089
1.344353,5,8.454528
-100.0,100,8.513074
1.344353,5,8.516627
-100.0,100,8.573229
3.575198,5,8.576833
-6.171477,7,8.581322
-100.0,100,8.637935
-100.0,100,8.694009
-100.0,100,8.750563
-2.583856,5,8.754179
-7.789758,9,8.759803
-83.221271,100,8.817765
-100.0,100,8.875362
-58.0,58,8.909055
-93.0,93,8.963018
-2.324622,5,8.966857
68.265877,5,8.970544
-100.0,100,9.028905
-10.0,10,9.035217
1.344353,5,9.038863
-2.192189,5,9.04269
-100.0,100,9.108935
28.855222,7,9.114201
-100.0,100,9.17279
-69.0,69,9.212891
-2.080871,6,9.217408
-100.0,100,9.274535
-3.596094,5,9.278056
5.849959,5,9.281567
6.986665,5,9.285093
24.855222,11,9.292019
-100.0,100,9.348023
9.485829,5,9.368726
19.395433,5,9.371784
-100.0,100,9.419414
-100.0,100,9.467069
-2.140504,5,9.470062
-100.0,100,9.53669
-97.985647,100,9.595041
-2.123611,5,9.59869
44.819551,5,9.602315
-100.0,100,10.489089
2.817986,5,10.493299
-100.0,100,10.551217
12.733015,5,10.555047
-100.0,100,10.61264
-100.0,100,10.669709
7.57362,5,10.673291
-10.221399,17,10.683798
7.954837,5,10.687285
24.695802,5,10.690897
-1.000795,6,10.694968
-2.157271,5,10.698641
-100.0,100,10.756666
23.572187,5,10.760768
-100.0,100,10.822464
-6.682693,9,10.828616
-100.0,100,10.890297
-100.0,100,10.952715
-100.0,100,11.008709
25.259054,5,11.012263
-100.0,100,11.07076
-100.0,100,11.131416
-4.0,5,11.135168
-22.0,23,11.149683
12.936375,5,11.1535
-2.080871,5,11.157488
-100.0,100,11.216443
49.53047,5,11.220047
-100.0,100,11.276723
-12.221399,19,11.288147
-3.814425,6,11.292236
-100.0,100,11.34806
-100.0,100,11.408375
-4.099265,5,11.412127
-2.157271,5,11.415954
2.044535,5,11.41955
-100.0,100,11.480996
8.219049,5,11.491029
0.760891,5,11.49496
-100.0,100,11.556178
-2.151267,5,11.559982
11.640089,5,11.563814
-1.933189,5,11.567695
-17.0,17,11.578566
-100.0,100,11.639729
21.853457,5,11.64365
-2.324622,5,11.647716
-4.148575,6,11.652106
-100.0,100,12.587367
-2.151267,5,12.591107
-5.349109,9,12.59713
-1.795835,5,12.600649
-100.0,100,12.657329
15.115433,5,12.661731
-100.0,100,12.718121
-100.0,100,12.774468
-100.0,100,12.830737
-100.0,100,12.887272
-100.0,100,12.943245
-100.0,100,12.999344
-100.0,100,13.055413
26.509612,5,13.059083
-100.0,100,13.115133
-100.0,100,13.171117
-100.0,100,13.233544
-13.0,13,13.2414
-100.0,100,13.297701
-100.0,100,13.354086
-100.0,100,13.410372
-34.221399,41,13.43391
8.068311,5,13.437374
-2.192189,6,13.441772
-100.0,100,13.497657
24.089105,5,13.501244
-97.497406,100,13.557512
-2.931415,5,13.561141
16.914756,5,13.564739
-100.0,100,13.620836
-100.0,100,13.676608
57.591821,5,13.680202
-2.221399,9,13.685965
36.859405,5,13.689461
-2.480863,5,13.692902
-32.0,32,13.711104
-100.0,100,14.59408
-100.0,100,14.650685
-2.68291,5,14.654258
-36.0,36,14.674917
-2.19506,6,14.679334
-19.0,19,14.690569
39.512131,5,14.694144
-0.069799,5,14.69766
11.309819,5,14.701234
-2.669596,5,14.705733
-100.0,100,14.761774
15.115433,5,14.765409
-100.0,100,14.821597
-100.0,100,14.87757
-100.0,100,14.934046
13.843901,6,14.938223
-100.0,100,14.995249
-100.0,100,15.041443
75.972881,5,15.044389
-100.0,100,15.0904
-100.0,100,15.138116
-77.927984,80,15.186803
21.853457,5,15.190516
-30.822161,39,15.21349
6.746097,5,15.217103
-100.0,100,15.27478
-100.0,100,15.331354
-100.0,100,15.387341
26.537077,5,15.390927
-100.0,100,15.447198
26.155727,5,15.450761
-2.087678,6,15.455195
-100.0,100,15.511318
5.809007,5,15.51486
-2.192189,5,15.518587
-22.0,22,15.531332
-100.0,100,15.587186
-100.0,100,15.643379
-2.213012,5,15.647067
-100.0,100,15.702872
35.346894,5,15.706475
-71.992344,100,15.762612
-98.252105,100,15.818997
2.123994,5,15.822786
-100.0,100,15.87881
-100.0,100,16.752699
-34.890111,37,16.774749
-52.0,52,16.804494
-100.0,100,16.860921
-100.0,100,16.917111
26.537077,5,16.92073
-2.19506,6,16.925164
-100.0,100,16.981387
-1.709936,5,16.986801
48.129339,5,16.990394
-100.0,100,17.046551
4.531198,5,17.05012
-100.0,100,17.106339
67.990059,5,17.109915
-100.0,100,17.165845
-6.297371,12,17.173187
-100.0,100,17.229346
-100.0,100,17.285446
-2.468429,5,17.289113
25.283381,5,17.29268
99.204066,5,17.296247
-100.0,100,17.352605
-100.0,100,17.408879
-1.930602,5,17.412443
-26.466576,34,17.431999
-100.0,100,17.488074
23.430459,5,17.491676
-100.0,100,17.547726
34.442169,5,17.551299
-33.52236,37,17.573027
-98.063835,100,17.629878
-100.0,100,17.685808
-100.0,100,17.741685
23.345103,5,17.745285
-100.0,100,17.801374
1.407345,8,17.806635
-100.0,100,17.862953
-2.420733,5,17.86656
-100.0,100,18.743301
17.738653,5,18.747096
-100.0,100,18.804412
-6.82985,9,18.810346
-100.0,100,18.86665
41.006019,5,18.870101
-67.0,67,18.908377
-100.0,100,18.965221
67.571109,5,18.96896
-100.0,100,19.025739
62.019654,5,19.029569
26.155727,5,19.03314
11.964114,5,19.036693
27.24479,5,19.040257
-100.0,100,19.096482
-100.0,100,19.152885
-100.0,100,19.208919
60.896949,5,19.212527
-89.096112,100,19.273851
-1.974696,5,19.27738
11.778412,5,19.28125
9.619996,5,19.284807
-100.0,100,19.341095
2.777527,7,19.345675
-100.0,100,19.401867
-100.0,100,19.458243
-100.0,100,19.514486
36.745733,8,19.519648
-2.639255,5,19.523008
20.246949,5,19.526586
-100.0,100,19.582712
63.368024,5,19.586305
-100.0,100,19.692414
23.345103,5,19.69536
-100.0,100,19.741929
-2.192189,5,19.745027
13.698664,5,19.747921
-3.82985,6,19.760164
43.959414,5,19.763797
-100.0,100,19.821985
-100.0,100,19.878586
-100.0,100,19.936366
-100.0,100,19.992831
-100.0,100,20.872148
23.345103,5,20.875979
-2.82985,5,20.879523
-77.985647,80,20.925527
87.012038,5,20.92919
32.745733,12,20.936624
19.096203,5,20.940221
71.836955,5,20.943819
-100.0,100,21.000281
-11.945621,17,21.010571
-100.0,100,21.067015
-13.0,13,21.074807
27.515542,5,21.078454
-2.087678,6,21.082855
-2.087678,6,21.087251
38.899194,5,21.090838
10.249317,5,21.094502
7.381058,5,21.098108
-100.0,100,21.154816
19.569271,5,21.158494
-100.0,100,21.21474
-2.123611,5,21.218315
-100.0,100,21.274734
95.487866,5,21.278319
7.434342,6,21.282462
-1.565111,5,21.286038
-95.687532,100,21.342415
-100.0,100,21.398821
-100.0,100,21.455179
-100.0,100,21.511313
3.275981,5,21.51486
-100.0,100,21.579811
67.990059,5,21.583803
-4.067553,6,21.587945
-100.0,100,21.646476
-9.26336,11,21.653699
-5.26336,7,21.658583
-100.0,100,21.71657
18.175341,5,21.720253
8.01961,5,21.723932
-100.0,100,21.781519
-100.0,100,21.839417
1.986665,10,21.846045
-1.933189,5,21.849735
-4.0,5,21.853416
24.089105,5,21.85716
18.997954,5,21.860832
-80.097762,100,21.919028
12.936375,5,21.922691
-100.0,100,21.98054
-100.0,100,22.038403
-2.974696,6,22.042661
