#{"t_start": 1745978226.876772, "env_id": "None"}
r,l,t
-0.005754,6,0.017169
62.67839,6,0.021559
31.12971,6,0.025758
8.086724,6,0.030065
24.374119,6,0.034291
-0.420041,6,0.038495
-2.11085,6,0.042974
25.703652,6,0.047235
98.854696,6,0.051585
3.692964,6,0.055837
20.94644,6,0.06006
0.301744,6,0.064266
68.703475,6,0.068565
-0.420041,6,0.072779
5.599313,6,0.076996
17.091651,6,0.081246
0.988382,6,0.085494
79.966187,6,0.0897
18.618583,6,0.093987
-2.778788,6,0.09832
18.618583,6,0.102554
1.22709,6,0.106731
0.563318,6,0.110982
-1.688381,6,0.115426
0.607794,6,0.119686
79.643034,6,0.123872
-0.512603,6,0.128217
8.086724,6,0.132522
0.558452,6,0.136789
1.881216,6,0.141044
0.988382,6,0.145262
-27.444648,36,0.1666
0.923494,6,0.171039
-2.696696,7,0.176185
122.565803,6,0.180664
-1.88055,6,0.184783
-17.0,17,0.194925
-3.340894,7,0.199964
-88.499328,96,0.258269
1.881216,6,0.262893
2.322321,7,0.267764
4.078148,6,0.272082
1.833649,15,0.281239
-2.23625,6,0.285655
94.949673,6,0.289913
3.163958,6,0.294145
4.748358,6,0.298299
-6.124375,11,0.305136
-12.0,12,0.312407
5.244606,6,0.316659
2.010395,6,0.320859
19.183817,6,0.324891
-3.341562,7,0.329901
22.807138,6,0.334198
8.535528,6,0.338379
13.9949,6,0.342615
4.149814,6,0.346839
-2.400774,6,0.351059
3.801353,6,0.355315
99.778331,6,0.359572
7.902318,6,0.363774
1.22709,6,0.367943
46.887504,6,0.372198
0.923494,6,0.37642
93.524571,6,0.380666
23.513713,6,0.385123
72.262721,6,0.389667
92.949973,6,0.393901
89.1007,6,0.398159
71.833724,6,0.402363
-2.339191,6,0.406833
37.47486,6,0.411088
-3.346346,7,0.41609
97.323194,7,0.420924
75.569963,6,0.425147
95.869285,6,0.429424
0.851376,6,0.433553
-1.688381,6,0.437979
0.624102,7,0.442975
90.75645,6,0.447202
31.526218,6,0.451491
0.988382,6,0.455722
80.467545,6,0.459907
20.964537,6,0.464061
-0.973254,6,0.468244
90.24727,6,0.47249
89.746867,6,0.476728
-1.075248,6,0.480921
-2.575956,7,0.485595
17.165759,6,0.489831
4.154022,6,0.49402
3.184458,6,0.498228
13.616657,6,0.502416
114.071798,6,0.506656
4.600263,6,0.510873
-1.731625,6,0.515308
23.513713,6,0.51952
-2.131131,6,0.52395
0.726472,7,0.528975
2.088174,8,0.534095
77.138929,6,0.538338
4.078148,6,0.542581
5.915421,6,0.546745
3.322321,6,0.550869
-1.688381,6,0.555292
41.301092,6,0.559538
5.150583,6,0.563773
-2.25377,6,0.571615
55.464635,6,0.575767
-1.575956,6,0.579921
4.30627,6,0.584164
80.411467,6,0.588374
36.71855,7,0.593206
121.067211,6,0.597438
3.692964,6,0.601645
-3.346346,7,0.606633
70.463422,6,0.610841
1.893943,19,0.622211
-1.688381,6,0.626632
-2.032571,7,0.631752
102.366484,6,0.636025
42.836661,6,0.640237
4.149814,6,0.644501
97.611331,6,0.648781
91.868258,6,0.653052
79.683849,6,0.65728
62.976379,6,0.66154
-9.0,9,0.667167
16.644817,6,0.671569
7.082239,7,0.676868
11.728256,6,0.681125
-86.935568,100,0.739192
-0.883885,6,0.74399
-2.500175,6,0.748599
0.607794,6,0.75336
51.390316,6,0.757719
3.692964,6,0.762076
22.581,6,0.766253
90.232191,6,0.770611
99.961072,6,0.774882
0.320227,6,0.779099
4.773958,6,0.783307
-1.8543,6,0.787483
0.369715,6,0.791706
50.935419,6,0.795912
0.12427,6,0.800136
61.76704,6,0.804414
18.618583,6,0.808623
3.37226,6,0.812733
