#{"t_start": 1745977254.0292387, "env_id": "None"}
r,l,t
-1.575951,3,0.018952
-1.665361,3,0.021461
8.935139,3,0.023853
5.504573,3,0.026185
-1.540435,3,0.02864
-1.660234,3,0.031058
15.531799,3,0.033402
-2.046135,3,0.035725
2.172018,3,0.038061
1.650807,3,0.040572
6.958253,7,0.045249
-1.595794,3,0.047684
-2.575951,3,0.049986
-1.770194,3,0.052442
3.824459,3,0.054765
-1.595794,3,0.057201
-2.750807,4,0.060223
1.903188,3,0.062541
-1.535426,3,0.065072
1.903188,3,0.067352
-1.597228,3,0.069733
-1.665361,3,0.072148
-2.317337,3,0.074473
-0.937399,3,0.076863
-1.535426,3,0.07922
-1.535426,3,0.081597
-1.665361,3,0.08401
-1.768665,3,0.08651
30.262595,3,0.088847
-1.937922,3,0.091135
-1.768665,3,0.093523
9.825245,3,0.095827
-1.660234,3,0.098213
5.504573,3,0.100521
-1.937922,3,0.102827
34.134078,3,0.105202
-2.669547,4,0.108243
10.58386,3,0.110578
-1.575951,3,0.113009
15.531799,3,0.115345
8.114027,3,0.117688
1.916292,3,0.12001
-1.775454,3,0.122448
-1.662311,3,0.124873
2.172018,3,0.127198
-1.72054,3,0.129632
-1.665361,3,0.132093
-1.575951,3,0.13452
-1.937399,4,0.137547
38.758921,3,0.139924
-1.729687,3,0.142339
2.172018,3,0.144652
5.082213,3,0.146988
-1.768665,3,0.149407
-1.575951,3,0.151861
-1.770194,3,0.154288
8.088089,4,0.15713
0.798301,4,0.16016
-2.095593,3,0.16252
0.851475,3,0.164852
-1.540435,3,0.167258
34.134078,3,0.169606
-0.937399,3,0.17207
8.087359,3,0.174396
8.114027,3,0.176735
-0.650383,3,0.179076
34.134078,3,0.181417
-0.937399,3,0.183861
-1.575951,3,0.18629
-1.660234,3,0.188718
8.935139,3,0.191178
1.798301,3,0.193639
45.93511,3,0.196009
-1.768665,3,0.198424
-2.191832,4,0.20147
1.625893,3,0.203785
30.262595,3,0.206127
36.83477,3,0.208533
-1.768665,3,0.210953
-1.770194,3,0.213404
-1.937922,3,0.215737
-1.869788,3,0.218083
-2.669547,4,0.221119
-1.660234,3,0.223529
20.167466,3,0.225868
-2.200212,3,0.228217
-1.768665,3,0.230656
-1.72054,3,0.233078
-2.669547,4,0.236123
-1.575951,3,0.238554
-1.597228,3,0.240985
-2.046135,3,0.243335
2.172018,3,0.245667
-2.67155,4,0.248713
-1.597228,3,0.251135
2.172018,3,0.253463
-1.660234,3,0.255938
1.650807,3,0.258363
8.628651,3,0.260791
8.935139,3,0.263145
3.424939,4,0.266082
-2.200212,3,0.268441
1.34239,3,0.270813
-1.770194,3,0.273251
-0.650383,3,0.275581
-1.768665,3,0.278016
-1.540435,3,0.280455
-1.768665,3,0.282887
-1.575951,3,0.285334
-2.046135,3,0.289106
-1.751082,3,0.291487
32.875885,3,0.293903
32.875885,3,0.296288
-0.937399,3,0.29871
8.325121,3,0.301065
1.903188,3,0.303373
-1.729687,3,0.30583
-0.937399,3,0.308349
-2.669547,4,0.311361
34.293766,4,0.314385
-1.768665,3,0.316831
8.045686,4,0.319747
-1.937922,3,0.322074
-1.665361,3,0.324543
-1.775454,3,0.32696
-0.937399,3,0.329405
5.082213,3,0.331722
-2.669547,4,0.334777
-1.665361,3,0.337279
2.514499,3,0.339781
-2.597228,4,0.342819
1.793756,3,0.345156
-1.575951,3,0.347591
1.903188,3,0.349911
-0.937399,3,0.352376
28.758437,3,0.354761
32.697031,3,0.357128
-2.669547,4,0.360188
2.172018,3,0.362511
-2.046135,3,0.364864
-1.937399,4,0.367923
-1.937922,3,0.370268
-1.729687,3,0.372724
1.793756,3,0.375049
-1.729687,3,0.377497
-1.669547,3,0.379973
-2.534903,4,0.382993
8.114027,3,0.385372
-1.775454,3,0.387847
-1.751082,3,0.390416
2.12319,3,0.392749
9.825245,3,0.395373
-2.191832,4,0.398413
1.798301,3,0.400859
9.825245,3,0.403238
34.134078,3,0.405581
-1.937922,3,0.407949
6.997421,3,0.410282
-2.67155,4,0.413339
-1.595794,3,0.415845
7.367748,3,0.418212
-1.816732,3,0.420593
-1.775454,3,0.423041
2.12319,3,0.42538
-1.770194,3,0.427845
-1.535426,3,0.430254
4.16859,3,0.432589
-2.67155,4,0.435613
-1.729687,3,0.438059
-1.660234,3,0.440511
-1.669547,3,0.442955
-1.729687,3,0.445392
0.851475,3,0.447721
38.728953,3,0.450365
1.28048,3,0.452825
-2.046135,3,0.455164
-2.67155,4,0.458242
-2.770194,4,0.461307
30.080583,3,0.463651
-1.534903,3,0.466101
7.720348,3,0.468457
-1.729687,3,0.470904
11.13132,3,0.47326
-2.534903,4,0.476287
-1.575951,3,0.47871
-2.750807,4,0.481698
-1.768665,3,0.484164
-1.72054,3,0.486591
-2.317337,3,0.488973
5.082213,3,0.491332
-1.937399,4,0.494377
36.862467,4,0.49734
2.172018,3,0.499671
1.903188,3,0.501991
8.114027,3,0.504364
-2.046135,3,0.506686
-1.729687,3,0.509121
-0.937399,3,0.511546
8.325121,3,0.513895
-3.041747,17,0.524374
5.082213,3,0.526737
-1.595794,3,0.529519
3.424939,4,0.53248
-2.669547,4,0.535501
-2.662311,4,0.538535
-1.770194,3,0.540962
5.082213,3,0.543313
3.424939,4,0.546272
-1.665361,3,0.548689
-1.729687,3,0.551114
-1.535426,3,0.553525
1.903188,3,0.55594
-1.937922,3,0.558271
-2.046135,3,0.560614
-1.775454,3,0.563116
34.134078,3,0.565434
-1.770194,3,0.567907
-1.665361,3,0.570337
11.736259,3,0.572686
34.134078,3,0.575005
1.932228,3,0.57728
-1.770194,3,0.579709
2.514499,3,0.582013
8.935139,3,0.584377
-2.095593,3,0.586707
34.134078,3,0.589068
7.787121,3,0.591403
5.504573,3,0.593731
-1.937399,4,0.596812
-1.575951,3,0.599233
9.825245,3,0.60157
-3.046135,4,0.604527
2.172018,3,0.606842
-0.650383,3,0.609519
-1.770194,3,0.611992
28.758437,3,0.614321
28.758437,3,0.616671
-3.046135,4,0.619581
13.804407,3,0.622003
-1.770194,3,0.624459
-1.660234,3,0.626892
9.825245,3,0.629243
0.958253,13,0.637408
20.975743,3,0.639753
4.858296,3,0.642103
-1.595794,3,0.644543
1.625893,3,0.646852
8.628651,3,0.649283
1.903188,3,0.651587
1.28048,3,0.654004
-1.660234,3,0.656421
-2.67155,4,0.65942
-1.770194,3,0.661839
2.172018,3,0.66416
-1.937399,4,0.667151
1.903188,3,0.669453
-1.770194,3,0.671895
4.504236,3,0.674264
-1.535426,3,0.676665
1.903188,3,0.678951
-2.597228,4,0.682103
5.787121,5,0.685604
8.114027,3,0.687964
-2.67155,4,0.690977
-1.937922,3,0.693307
-2.755542,4,0.696307
-1.770194,3,0.698726
4.858296,3,0.701057
-1.775454,3,0.703495
1.752961,3,0.706428
8.384925,3,0.708768
45.93511,3,0.711116
-7.041747,21,0.72387
4.410662,4,0.726808
-0.937399,3,0.729231
7.530154,3,0.73156
26.683619,4,0.7345
-1.937922,3,0.736827
-7.041747,21,0.749561
-2.67155,4,0.752614
-1.69004,3,0.754885
8.325121,3,0.757237
4.858296,3,0.759569
-2.046135,3,0.761882
-1.72054,3,0.764336
-1.67155,3,0.766756
45.93511,3,0.769242
-2.669547,4,0.772315
8.087359,3,0.774642
-1.937922,3,0.776978
-1.69004,3,0.779239
-2.67155,4,0.78239
2.12319,3,0.784711
8.628651,3,0.78718
-1.775454,3,0.789595
1.903188,3,0.791929
-1.535426,3,0.794345
1.932228,3,0.79667
-1.751082,3,0.799023
-2.67155,4,0.802063
1.932228,3,0.804449
-1.540435,3,0.806869
10.8964,3,0.809216
-1.775454,3,0.811687
-3.0,3,0.814041
-2.669547,4,0.81709
-2.729687,4,0.820131
-1.937922,3,0.822428
-1.595794,3,0.825016
-1.535426,3,0.828228
1.28048,3,0.830616
8.935139,3,0.833081
2.172018,3,0.835391
-2.046135,3,0.837735
-2.67155,4,0.841004
-1.660234,3,0.843517
7.367748,3,0.845845
27.683619,3,0.848217
-1.960343,3,0.850506
-1.869788,3,0.852863
2.172018,3,0.855177
-3.0,3,0.857435
5.504573,3,0.859775
4.504236,3,0.862105
4.410662,4,0.865042
-1.768665,3,0.86748
-1.575951,3,0.86992
32.875885,3,0.872302
1.34239,3,0.874629
1.903188,3,0.876945
-1.535426,3,0.879345
15.531799,3,0.881685
8.628651,3,0.88415
-9.041747,23,0.89809
-2.046135,3,0.90049
-1.575951,3,0.90294
3.424939,4,0.905869
-1.775454,3,0.908339
-1.768665,3,0.910814
-2.755542,4,0.913795
2.172018,3,0.916151
-1.768665,3,0.918635
2.172018,3,0.920965
-1.575951,3,0.92339
1.650807,3,0.92584
-2.046135,3,0.92819
-1.665361,3,0.930614
5.082213,3,0.93296
-1.665361,3,0.935364
-1.770194,3,0.937805
1.444578,3,0.940123
32.875885,3,0.942579
-1.575951,3,0.944996
-1.775454,3,0.948246
-1.485501,7,0.953016
0.851475,3,0.955351
8.628651,3,0.957788
-1.660234,3,0.960243
3.424939,4,0.963141
-1.775454,3,0.965617
-2.669547,4,0.968656
-2.325595,3,0.970928
-2.046135,3,0.973299
11.812242,3,0.97563
-1.69004,3,0.977899
-1.775454,3,0.980356
-2.67155,4,0.983374
5.958253,8,0.988678
8.325121,3,0.991044
-1.770194,3,0.993506
11.736259,3,0.995875
-2.669547,4,0.998902
1.793756,3,1.001244
-2.317337,3,1.003617
2.172018,3,1.005942
12.804407,3,1.008248
26.683619,4,1.011207
-1.595794,3,1.013656
2.172018,3,1.015992
1.903188,3,1.0183
-0.937399,3,1.020751
-1.660234,3,1.023177
1.903188,3,1.025499
11.972724,3,1.027865
-1.770194,3,1.030289
1.625893,3,1.032614
-1.540435,3,1.035029
-2.325595,3,1.037313
-1.191832,3,1.039748
-2.191832,4,1.042783
-1.69004,3,1.045057
-1.540435,3,1.047459
-1.535426,3,1.04989
2.172018,3,1.052277
-2.046135,3,1.054596
15.574348,3,1.056922
-1.937922,3,1.059291
-2.72054,3,1.061707
-1.72054,3,1.064157
3.424939,4,1.067082
32.75711,3,1.069424
0.444578,4,1.07296
-2.272561,3,1.075241
-0.937399,3,1.07769
-2.669547,4,1.080736
-2.67155,4,1.083737
1.903188,3,1.086048
-2.67155,4,1.089086
1.34239,3,1.091413
8.114027,3,1.093743
-1.768665,3,1.096201
-2.669547,4,1.099206
30.262595,3,1.101536
15.874493,3,1.103897
-1.660234,3,1.106316
38.758921,3,1.108651
-1.660234,3,1.11108
4.858296,3,1.113439
0.61857,3,1.115762
28.758437,3,1.118084
-2.534903,4,1.121093
30.004274,3,1.123453
8.114027,3,1.125793
-1.770194,3,1.128268
-1.768665,3,1.130697
-1.575951,3,1.133152
-2.755542,4,1.136152
4.858296,3,1.138496
36.83477,3,1.140908
15.531799,3,1.143248
1.798301,3,1.145728
-1.770194,3,1.148196
1.088089,11,1.155305
-2.662311,4,1.158356
9.088089,3,1.160638
-2.325595,3,1.1629
-0.650383,3,1.165249
-1.595794,3,1.167674
-2.67155,4,1.17071
-2.669547,4,1.173885
8.49973,3,1.176198
1.793756,3,1.178507
1.34239,3,1.180857
9.825245,3,1.183202
-2.669547,4,1.18624
-1.937922,3,1.188595
-1.770194,3,1.191024
-1.575951,3,1.193453
8.114027,3,1.195823
-1.770194,3,1.198258
1.650807,3,1.200706
-1.768665,3,1.203147
-1.768665,3,1.205578
28.758437,3,1.207932
-1.191832,3,1.21036
-2.046135,3,1.212698
11.059358,3,1.215052
-2.317337,3,1.218149
9.825245,3,1.220506
30.772403,3,1.222852
-2.534903,4,1.225867
1.28048,3,1.228314
-1.540435,3,1.230722
-1.535426,3,1.233132
-1.575951,3,1.235658
15.531799,3,1.237984
-1.770194,3,1.240423
-1.250436,3,1.242782
-0.937399,3,1.245335
-1.597228,3,1.247774
-1.665361,3,1.250234
-1.775454,3,1.252658
19.167466,4,1.255592
1.752961,3,1.258028
-1.535426,3,1.260458
30.262595,3,1.262808
0.851475,3,1.265174
-1.665361,3,1.267623
-1.665361,3,1.27006
-2.669547,4,1.273094
2.172018,3,1.275602
15.531799,3,1.278173
1.932228,3,1.280526
-2.67155,4,1.283533
-1.535426,3,1.285941
1.793756,3,1.288292
-1.69004,3,1.290556
-1.660234,3,1.293002
-2.72054,3,1.295315
-2.67155,4,1.298362
-0.937399,3,1.300845
-1.72054,3,1.303298
-1.650383,4,1.306271
37.862467,3,1.308613
4.858296,3,1.310951
-1.770194,3,1.31338
-1.72054,3,1.315841
-2.534903,4,1.318873
37.686089,3,1.321218
-2.317337,3,1.323594
-1.250436,3,1.325914
13.615112,3,1.328205
11.736259,3,1.330545
30.494182,3,1.332891
1.793756,3,1.335223
