#{"t_start": 1745978303.4286313, "env_id": "None"}
r,l,t
-99.0,100,0.086806
-3.080871,6,0.091227
-2.003236,6,0.095391
28.853154,6,0.099677
83.742116,6,0.10387
58.81738,6,0.108062
24.916462,6,0.112306
87.594084,6,0.11659
23.430903,3,0.118962
-32.0,32,0.137973
-37.0,37,0.159602
76.968252,6,0.163756
-2.251484,6,0.16799
39.579496,6,0.172097
-2.503914,6,0.176543
-1.031362,6,0.180886
-2.528127,6,0.185284
94.777885,6,0.189551
15.252731,6,0.193774
-5.611948,9,0.199649
105.696115,6,0.20395
-2.553155,6,0.208269
-6.0,6,0.212234
27.291145,6,0.216517
106.164237,6,0.220816
-2.709936,6,0.224983
-2.483461,6,0.229394
7.952415,6,0.233512
78.657894,7,0.238387
79.944726,6,0.242691
27.583139,6,0.246981
55.150094,6,0.251178
119.737982,6,0.255895
-100.0,100,0.313172
5.788468,6,0.317537
-3.578681,6,0.321557
-7.0,7,0.326054
109.105346,6,0.330392
63.004803,6,0.334648
-2.775334,6,0.338961
12.223231,6,0.343162
25.087124,6,0.347406
-100.0,100,0.404732
79.393029,6,0.409059
-30.0,30,0.426635
72.208142,6,0.430913
-19.560559,25,0.446308
16.095635,6,0.450611
96.027664,6,0.455198
92.858493,6,0.459515
35.52457,9,0.465408
24.991421,6,0.469895
-3.525173,7,0.474898
-0.367058,6,0.479209
18.003984,6,0.483311
16.095635,6,0.487566
-13.0,13,0.495431
20.020254,6,0.499789
72.901607,6,0.504086
-64.0,64,0.541408
48.641598,6,0.54562
-2.477394,6,0.549845
38.286408,6,0.553962
2.874766,6,0.558173
44.387928,6,0.562359
25.100499,1,0.563509
93.450642,6,0.567513
145.883751,6,0.572228
-2.705494,6,0.576384
-0.367058,6,0.580745
0.079972,6,0.58542
-0.446192,6,0.589607
8.464983,6,0.593855
-2.001037,6,0.597876
10.233197,6,0.602146
25.800834,6,0.606333
-6.0,6,0.610288
7.559853,7,0.61512
9.313572,9,0.621067
20.731448,6,0.625309
66.890837,6,0.629508
88.523479,6,0.641252
-7.429441,13,0.64947
92.734219,6,0.653751
16.215072,6,0.658064
-2.445325,6,0.66264
-2.632571,6,0.667053
0.079972,6,0.671398
-23.0,23,0.685172
-2.654854,6,0.689523
31.338717,8,0.694705
-1.176423,7,0.69974
34.568526,6,0.703999
-1.031362,6,0.708767
7.402132,6,0.712938
23.161164,6,0.717151
14.843604,6,0.721336
-2.19506,6,0.725755
-99.1044,100,0.78496
