#{"t_start": 1745977614.5192568, "env_id": "None"}
r,l,t
54.211118,4,0.013378
0.55421,4,0.016545
6.432576,4,0.019563
55.531373,4,0.022577
1.284738,4,0.025536
-0.750834,4,0.028518
0.514328,4,0.031595
0.350875,4,0.034567
7.411784,4,0.037525
0.283288,4,0.0405
56.106112,4,0.04348
3.42252,4,0.04666
55.712765,4,0.049618
49.543551,4,0.052607
6.432576,4,0.055582
-1.016116,4,0.058698
0.55421,4,0.061811
-0.611481,4,0.064686
14.520334,4,0.067636
-0.633284,5,0.071317
0.412196,4,0.07432
57.4023,4,0.077332
-8.0,8,0.082422
-1.877499,4,0.085424
55.840434,4,0.088517
52.581576,4,0.091485
-3.0,4,0.094475
1.284738,4,0.097389
21.801708,4,0.100492
52.058939,4,0.103458
40.428184,4,0.106468
59.013482,4,0.109472
1.284738,4,0.112412
-100.0,100,0.170045
0.089768,4,0.173256
-34.0,34,0.193063
-2.197873,4,0.196205
-0.751107,4,0.19939
0.830868,4,0.2027
3.08752,4,0.205643
56.527681,4,0.208621
9.011123,4,0.211589
-2.773412,4,0.214641
3.62493,4,0.217598
21.50358,4,0.220545
1.284738,4,0.223465
12.615507,4,0.226603
0.830868,4,0.229578
56.524964,4,0.232579
9.591715,4,0.235622
1.077947,4,0.238508
17.282745,4,0.241516
-0.527732,4,0.24451
61.607924,4,0.247669
0.767187,4,0.250617
49.543551,4,0.253602
-1.018644,4,0.25675
56.514843,4,0.259779
32.332807,4,0.262775
56.438404,5,0.266384
-0.808559,4,0.269468
7.411784,4,0.272471
1.900988,4,0.275973
32.332807,4,0.278998
7.142868,4,0.282056
21.50358,4,0.284994
55.282721,4,0.288325
-1.480542,4,0.291521
30.018578,4,0.294651
14.520334,4,0.298152
4.59224,4,0.301456
3.93014,4,0.304631
1.077947,4,0.30758
50.432434,4,0.310907
0.412196,4,0.314182
7.142868,4,0.317602
8.339486,4,0.320783
-0.527732,4,0.323967
-1.877499,4,0.327359
-1.798453,4,0.33056
-60.0,60,0.365967
7.102167,4,0.368948
-0.23777,4,0.371982
7.950465,4,0.375013
-19.0,19,0.386404
-2.474004,5,0.389843
-0.751107,4,0.392817
-2.301312,4,0.395981
4.821219,4,0.398964
-46.0,46,0.425705
7.950465,4,0.428766
9.150795,6,0.432882
