#{"t_start": 1745976786.742814, "env_id": "None"}
r,l,t
10.82857,3,0.01312
-13.432378,23,0.026896
-37.432378,47,0.054557
10.82857,3,0.056894
-60.432378,70,0.09715
-8.0,8,0.102168
-2.0,3,0.104487
-7.0,7,0.109
6.719155,4,0.11189
6.615109,5,0.11529
-100.0,100,0.172323
10.82857,3,0.174668
-4.0,4,0.177412
-85.432378,95,0.231813
8.393631,4,0.234811
-3.0,3,0.236994
10.019446,4,0.239977
4.719155,6,0.243959
-10.0,10,0.250126
31.049485,3,0.252451
10.82857,3,0.254778
-2.0,3,0.2571
10.019446,4,0.260098
-3.0,3,0.262311
-5.375278,8,0.267768
-6.0,6,0.271683
8.393631,4,0.274686
-54.0,54,0.305781
8.393631,4,0.308784
-52.432378,62,0.344545
-3.0,3,0.346754
-5.0,5,0.350047
-3.375278,6,0.35434
-14.0,15,0.363532
-51.432378,61,0.398672
-38.432378,48,0.426384
-28.0,28,0.442775
-33.432378,43,0.467881
10.019446,4,0.470878
8.615109,3,0.473097
31.049485,3,0.475409
7.719155,3,0.477655
10.82857,3,0.479966
-2.432378,12,0.487332
-58.0,58,0.520575
10.82857,3,0.522916
-18.0,18,0.53364
-7.0,7,0.538101
10.82857,3,0.540406
-10.375278,13,0.548656
17.511386,3,0.55091
-8.0,8,0.55592
7.719155,3,0.558169
-47.375278,50,0.587276
7.615109,4,0.590073
8.393631,4,0.593074
-3.0,4,0.595978
-90.432378,100,0.653083
8.615109,3,0.655325
7.719155,3,0.657577
-3.0,3,0.659766
-92.0,92,0.712466
-57.432378,67,0.750963
-100.0,100,0.807955
-3.0,4,0.810863
-8.432378,18,0.821621
6.719155,4,0.824456
-5.0,6,0.828489
0.719155,10,0.840464
-22.0,22,0.855174
-15.0,15,0.864247
10.019446,4,0.867238
-55.0,55,0.899079
8.615109,3,0.901302
8.615109,3,0.903528
-17.0,18,0.914388
9.393631,3,0.916795
-100.0,100,0.974445
-3.0,3,0.976757
-2.375278,3,0.979028
8.393631,4,0.982128
-3.432378,13,0.990114
5.719155,5,0.993562
16.511386,4,0.996399
-3.432378,13,1.004392
-1.375278,4,1.007556
3.567622,6,1.01154
-1.432378,11,1.018404
10.82857,3,1.020713
-2.375278,3,1.022974
-8.432378,18,1.03384
9.019446,5,1.037418
17.511386,3,1.039705
-3.0,3,1.041897
-90.0,90,1.093564
-90.432378,100,1.15076
10.019446,4,1.153932
-27.280845,39,1.177144
10.019446,4,1.180112
-90.432378,100,1.237453
-8.0,8,2.103601
27.32373,3,2.106528
-25.0,26,2.122608
10.019446,4,2.125659
-4.375278,5,2.129143
-100.0,100,2.188202
-5.0,6,2.192371
16.630238,3,2.194771
10.019446,4,2.197802
31.049485,3,2.200743
16.630238,3,2.203096
-21.0,21,2.215746
8.393631,4,2.218808
8.393631,4,2.221807
31.049485,3,2.22416
-100.0,100,2.282449
-100.0,100,2.340884
8.393631,4,2.344054
7.719155,3,2.346401
-26.0,26,2.362114
29.657799,3,2.364458
7.719155,3,2.366782
16.630238,3,2.369112
-23.0,23,2.382907
10.019446,4,2.385955
16.630238,3,2.388307
-27.432378,37,2.410405
29.723465,3,2.412759
8.615109,3,2.415023
-44.0,45,2.445469
9.019446,5,2.449139
