#{"t_start": 1745978232.2945604, "env_id": "None"}
r,l,t
-98.407075,100,0.068383
-4.62986,6,0.072378
-98.407075,100,0.129344
-9.0,9,0.134929
-54.0,54,0.165858
-98.407075,100,0.222923
0.70231,6,0.227313
-98.407075,100,0.28428
-98.407075,100,0.34318
0.70231,6,0.34764
-98.407075,100,0.404855
-0.890091,6,0.409113
0.70231,6,0.413483
-12.0,12,0.420789
-16.0,16,0.430414
-7.0,7,0.434897
0.109909,6,0.439173
-98.407075,100,0.496194
-98.407075,100,0.55382
0.109909,6,0.558434
-30.0,30,0.577277
-98.407075,100,0.635339
1.071939,6,0.639683
0.70231,6,0.644035
-100.0,100,0.700777
-98.407075,100,0.758533
-50.0,50,0.787198
-98.407075,100,0.844836
-31.0,31,0.864026
0.70231,6,0.869037
0.109909,6,0.873668
-98.407075,100,0.931062
-100.0,100,0.98781
0.109909,6,0.992122
-7.0,7,0.996628
-32.0,32,1.015296
-63.0,63,1.051219
-100.0,100,1.108061
-98.407075,100,1.16485
0.70231,6,1.16932
-98.407075,100,2.125001
1.071939,6,2.12952
1.071939,6,2.13374
0.109909,6,2.138025
-4.62986,6,2.142004
1.071939,6,2.146192
-98.407075,100,2.203701
-4.62986,6,2.207692
-98.407075,100,2.265299
-98.407075,100,2.322424
-95.85212,100,2.379771
-98.407075,100,2.437049
-98.407075,100,2.494021
-98.407075,100,2.551533
-1.29769,6,2.555638
-4.62986,6,2.55961
-96.66783,100,2.616446
-96.66783,100,2.673343
-0.259719,6,2.677813
-3.445045,6,2.681864
1.071939,6,2.68606
1.071939,6,2.690244
-1.29769,6,2.694319
-98.407075,100,2.751357
0.70231,6,2.755757
-98.407075,100,2.812873
1.071939,6,2.81709
-98.407075,100,2.874518
-4.62986,6,2.878463
-98.407075,100,2.935741
-0.259719,6,2.940239
-4.407075,6,2.944353
-96.66783,100,3.002285
1.071939,6,3.006751
-1.29769,6,3.011153
-95.85212,100,3.069004
-98.407075,100,3.126824
-4.62986,6,3.141443
-0.259719,6,3.146016
-9.0,9,3.151656
-96.66783,100,3.209209
-93.33566,100,3.267103
-96.66783,100,4.211713
-2.259719,6,4.216944
-98.407075,100,4.275327
-98.407075,100,4.332729
-98.407075,100,4.390458
-95.85212,100,4.448468
-2.259719,6,4.452808
-4.29769,11,4.460141
-98.407075,100,4.51843
-98.407075,100,4.577883
-8.62986,12,4.585668
-98.407075,100,4.646538
-7.407075,8,4.651676
-96.66783,100,4.709831
-96.62986,100,4.776245
-96.62986,100,4.824539
-99.407075,100,4.87402
-99.407075,100,4.921661
-95.483016,100,4.969169
-11.0,11,4.985387
-96.66783,100,5.043099
0.70231,6,5.047516
-4.407075,6,5.051836
-3.445045,6,5.056151
-8.0,8,5.06124
-4.66783,9,5.067175
-98.407075,100,5.124512
-4.62986,8,5.1309
-4.66783,9,5.136846
-8.483016,13,5.144969
0.70231,6,5.149353
-95.85212,100,5.208098
-96.66783,100,5.265615
-7.0,7,5.27008
-96.66783,100,5.327503
-5.483016,10,5.333843
-3.445045,6,5.337936
-93.33566,100,5.395275
-1.85212,7,5.40036
-1.66783,6,5.404557
-95.85212,100,5.462147
-7.407075,8,5.467368
-1.29769,8,5.473097
-95.85212,100,5.531541
-95.85212,100,5.589075
-95.85212,100,5.646802
-54.0,54,6.573191
-3.445045,6,6.577578
-3.85212,9,6.583751
-98.407075,100,6.641497
-7.0,7,6.646066
-11.62986,13,6.654143
-98.407075,100,6.713036
-0.259719,6,6.717638
-95.85212,100,6.776348
-1.483016,6,6.780873
-1.85212,6,6.785219
-3.62986,7,6.7903
-95.85212,100,6.849196
