#{"t_start": 1745977950.3388221, "env_id": "None"}
r,l,t
64.799671,6,0.020513
13.550063,9,0.027905
128.973206,6,0.03327
-14.226509,16,0.04451
32.615029,6,0.049933
11.18221,6,0.054533
-100.0,100,0.118452
-8.0,8,0.123973
0.581805,6,0.1287
6.076066,6,0.133335
14.615151,7,0.138599
140.08578,6,0.143677
-1.91283,6,0.148342
-1.91283,6,0.15357
38.47405,12,0.162027
75.689764,6,0.166692
33.10159,6,0.171371
35.733317,6,0.176075
6.185681,6,0.180619
12.514499,7,0.186187
-100.0,100,0.249843
-3.587764,6,0.254491
64.369396,6,0.259265
82.737367,6,0.263936
3.797184,6,0.268364
7.27612,6,0.273096
-1.264713,6,0.277959
24.814676,6,0.282695
43.669161,6,0.287349
17.625196,6,0.292358
-12.0,12,0.300776
-1.103423,6,0.305728
-17.963938,23,0.322162
0.559795,6,0.327517
76.920994,6,0.332389
11.564672,6,0.336926
-4.869891,10,0.344403
82.737367,6,0.349152
24.432869,6,0.353901
62.773106,6,0.358664
-2.407343,6,0.363246
18.928074,6,0.367866
13.523518,6,0.372379
74.030253,6,0.377165
14.688418,6,0.381812
-100.0,100,0.445724
44.47405,6,0.450545
0.123372,6,0.455167
27.849286,7,0.460702
11.137266,6,0.465323
30.703653,6,0.470061
-0.146376,6,0.474976
45.579447,6,0.479683
-4.643474,6,0.484041
-2.407343,6,0.488631
66.615802,6,0.493432
-100.0,100,0.556926
-6.151766,13,0.566071
-9.0,9,0.572315
40.350002,6,0.57707
-2.568603,6,0.581657
2.278861,6,0.586293
1.202391,6,0.59087
-100.0,100,0.654564
39.358214,6,0.659381
0.123372,6,0.664029
-0.937127,6,0.66889
24.814676,6,0.67357
4.971608,6,0.678341
-95.691703,100,0.742057
-100.0,100,0.806593
-100.0,100,0.872225
-100.0,100,0.935328
66.048607,31,0.95602
-98.457723,100,1.019121
-4.103728,7,1.024304
52.761705,6,1.029059
76.729333,7,1.034514
33.522455,6,1.039222
-100.0,100,1.104953
6.99434,20,1.118505
71.02474,6,1.123194
42.411313,6,1.127898
2.255476,6,1.132726
55.214609,6,1.137414
66.385826,6,1.142511
-0.225191,6,1.147445
-1.106023,6,1.152592
31.819443,6,1.157321
13.835716,6,1.162169
2.197947,6,1.166793
14.786567,6,1.171323
12.753442,10,1.178366
15.958849,6,1.183068
-1.370188,6,1.187913
8.234096,10,1.195118
18.537017,7,1.200227
70.960228,6,1.204884
33.07871,6,1.209652
34.081004,6,1.214386
-100.0,100,1.277394
-1.695969,8,1.283208
-10.0,10,1.303096
57.780459,6,1.307854
-100.0,100,1.371784
14.754626,15,1.382432
-100.0,100,2.384015
14.529321,6,2.388811
-3.561282,9,2.395298
64.112193,6,2.400261
15.489497,6,2.405043
-0.599592,6,2.409568
-0.146376,6,2.414528
71.115203,6,2.419152
-2.469469,15,2.42923
-7.018073,12,2.437672
-5.224876,6,2.441957
8.903826,6,2.44657
-4.325226,21,2.460948
25.946644,6,2.465517
-97.660259,100,2.529577
16.611724,6,2.534338
3.610986,8,2.540275
-2.127563,6,2.544732
70.509897,6,2.549486
17.338906,6,2.55427
91.159232,6,2.558937
-84.411241,100,2.623327
-2.407343,6,2.627895
9.226272,6,2.633648
-2.081525,6,2.638486
7.914028,8,2.644296
96.952481,6,2.64898
10.250771,6,2.653651
-1.1432,6,2.658202
172.853026,7,2.663469
-3.118075,6,2.668136
-3.855479,6,2.672563
32.986858,6,2.677209
6.076066,6,2.681911
39.802257,6,2.68678
-5.262153,7,2.691946
14.884742,6,2.696659
-0.498316,6,2.70128
-100.0,100,2.765439
13.440167,6,2.77033
-11.95344,15,2.78035
-36.235672,100,2.841127
-100.0,100,2.89828
-14.264142,17,2.911084
68.323573,6,2.915346
56.378116,6,2.919649
93.225593,6,2.923942
14.132659,6,2.928174
-24.62416,100,2.985641
57.576511,6,2.989883
69.983856,6,2.994141
20.343759,6,2.998378
-92.898355,100,3.055449
4.168765,7,3.060177
7.129005,7,3.064908
39.639335,7,3.069732
29.437936,6,3.073836
-0.90569,7,3.078968
67.628561,6,3.083236
-84.378058,100,3.140197
26.46767,6,3.144465
-1.475663,6,3.148738
-96.05949,100,3.205709
-100.0,100,3.26288
3.352908,6,3.267007
-100.0,100,3.323814
74.66868,6,3.328113
4.010556,10,3.339118
5.052607,6,3.343771
2.333643,6,3.348023
35.625408,8,3.353315
-2.696565,6,3.357846
23.98687,6,3.362075
53.102821,6,3.366376
0.266473,6,3.370607
-10.515534,14,3.379388
-3.558398,6,3.383523
7.277024,7,3.388301
-1.264713,6,3.39276
-13.0,13,3.400668
90.858587,6,3.404898
-1.072558,6,3.409214
31.276491,6,3.413409
121.044649,6,3.417602
44.153396,6,3.421858
-4.561282,10,3.428244
48.936775,6,3.432479
1.12849,7,3.437102
-100.0,100,3.493935
-2.980583,6,3.49843
2.043683,6,3.502702
26.57726,6,3.506908
80.235597,6,3.511165
27.729094,6,3.515406
78.96108,6,3.51965
-1.515248,6,3.524729
-1.92188,6,3.528992
84.037864,6,3.533243
59.507286,6,3.537484
46.141083,6,3.541724
1.801056,6,3.545999
-100.0,100,3.603005
23.937551,9,3.608934
-100.0,100,4.478642
8.043477,6,4.48309
9.789712,6,4.487328
-100.0,100,4.545086
57.605539,6,4.54967
3.551136,6,4.553999
-3.444416,6,4.558284
-2.564448,7,4.56345
-0.90569,7,4.568656
-99.091265,100,4.627866
-0.802574,6,4.632121
113.447442,6,4.636464
5.330161,10,4.642797
22.240117,6,4.647067
14.953615,6,4.651405
78.262423,6,4.655637
13.422604,6,4.659945
38.17361,6,4.664223
0.581805,6,4.668438
-2.434575,6,4.672909
-100.0,100,4.730149
3.551136,6,4.734488
4.601022,6,4.738751
6.820493,7,4.743551
-1.264142,6,4.749793
6.645044,6,4.754085
-100.0,100,4.811621
2.248457,6,4.81586
39.928303,6,4.820049
-3.013923,6,4.824241
12.975118,6,4.828357
-100.0,100,4.885088
36.873545,6,4.889333
-3.103728,6,4.89344
29.510557,6,4.897585
10.28417,12,4.905166
25.243884,6,4.909364
16.997761,6,4.913552
25.946644,6,4.918376
-98.386631,100,4.975358
-38.0,38,4.997376
3.79169,6,5.029095
49.716218,6,5.032629
-96.668427,100,5.081269
0.236308,6,5.084841
6.645044,6,5.088313
-3.337625,6,5.101534
-0.599592,6,5.105729
2.333643,6,5.109932
-46.515534,50,5.139183
2.333643,6,5.143531
7.572182,6,5.14759
3.551136,6,5.151727
7.736354,6,5.155989
50.28848,6,5.160182
-2.568603,6,5.164371
-2.714003,6,5.168538
33.540094,6,5.172882
13.243884,18,5.183964
-2.619496,7,5.188998
35.733317,6,5.193707
25.980151,6,5.197952
-19.95344,23,5.211578
-100.0,100,5.271607
39.358214,6,5.275854
136.656833,6,5.280153
-2.194726,6,5.28486
-100.0,100,5.341621
43.729084,6,5.345778
0.559795,6,5.349903
52.761705,6,5.354105
6.003035,6,5.358286
-100.0,100,5.414939
74.203836,6,5.419216
-100.0,100,5.476511
39.928303,6,5.480735
15.833745,6,5.484917
14.123468,6,5.489184
15.853605,6,5.493379
-4.022209,6,5.497609
-100.0,100,5.556139
1.696778,6,5.560693
-17.0,17,5.570733
-100.0,100,5.627403
-2.434575,6,5.631791
-2.961276,6,5.636039
-98.386631,100,5.692461
39.928303,6,5.696634
17.690389,6,5.70077
16.550063,6,5.705024
15.386872,6,5.709215
28.938302,6,5.713416
-4.036916,6,5.717485
30.884328,6,5.721693
-4.161727,6,5.725846
2.568633,6,5.729872
-100.0,100,5.786494
9.78776,6,6.655869
-0.498316,6,6.660375
14.898383,6,6.664594
21.177201,6,6.668968
7.736354,6,6.6732
19.435179,6,6.677729
22.66804,6,6.682003
12.426709,6,6.686476
-2.320008,6,6.690954
-1.264142,6,6.69555
20.821531,6,6.699728
23.612172,6,6.704033
33.364187,6,6.708593
-9.0,9,6.714301
58.172151,6,6.719012
2.310704,6,6.723439
-1.619496,6,6.727913
60.238041,6,6.732145
-7.622738,10,6.738698
128.973206,6,6.743049
-2.434575,6,6.747457
-1.619496,6,6.752355
-1.080101,6,6.756799
81.897017,6,6.761099
-4.643474,6,6.765126
19.99434,7,6.769903
25.339089,6,6.774109
105.869594,7,6.779514
17.057805,6,6.783829
6.076066,6,6.788103
10.389007,10,6.794953
2.197947,6,6.799178
26.360664,6,6.803471
2.333643,6,6.807911
76.402282,6,6.812314
0.123372,6,6.816693
-15.245621,23,6.831499
12.923943,6,6.835767
29.733532,15,6.84601
-3.337625,6,6.850279
5.502114,6,6.85449
-1.561282,7,6.859422
-6.12281,10,6.865861
64.799671,6,6.871032
39.91851,6,6.875454
9.726213,6,6.879636
10.242478,6,6.883815
71.91456,6,6.891159
-1.264142,6,6.895561
56.362191,6,6.899811
-2.042966,6,6.904253
13.772785,6,6.908437
69.982914,6,6.912757
11.099022,7,6.917483
-100.0,100,6.974301
31.423753,6,6.978493
14.437951,6,6.982753
-0.464931,6,6.986986
0.236308,6,6.991343
-1.53284,6,6.996035
70.960228,6,7.000255
-86.783891,100,7.057588
2.187841,6,7.061836
-3.103728,6,7.066065
60.238041,6,7.070267
-100.0,100,7.127754
0.581805,6,7.13206
-98.386631,100,7.189772
126.350387,6,7.193978
-61.0,61,7.228391
54.130918,6,7.232602
42.857259,6,7.236792
0.792789,7,7.241328
6.4646,6,7.245533
52.655536,6,7.249804
37.304832,6,7.253964
-2.434575,6,7.258219
25.391896,6,7.26241
-12.0,12,7.269616
21.919539,6,7.274203
-7.0,7,7.278681
-100.0,100,7.335067
-0.225191,6,7.339262
15.319419,6,7.343428
-1.759217,6,7.347833
43.729084,6,7.351961
16.611724,6,7.356137
-0.498316,6,7.360519
8.643543,6,7.364713
-100.0,100,7.420944
80.798606,6,7.425032
-2.524307,6,7.429162
-30.5716,33,7.448103
-100.0,100,7.503774
5.528422,8,7.508974
98.456757,6,7.51887
9.06877,6,7.523077
-2.875139,6,7.52725
