#{"t_start": 1745976731.1747026, "env_id": "None"}
r,l,t
-2.0,3,0.013255
-62.726325,100,0.070495
-100.0,100,0.126799
-7.341316,9,0.132564
-62.726325,100,0.189351
-100.0,100,0.245912
-100.0,100,0.302441
-62.726325,100,0.359172
-1.341316,3,0.361534
5.970018,20,0.373673
-7.341316,9,0.379453
10.828333,3,0.381826
-4.0,4,0.384558
-1.341316,3,0.386939
-100.0,100,0.443341
-21.029982,47,0.470478
-4.0,4,0.473194
-2.0,3,0.475494
-100.0,100,0.531797
-62.726325,100,0.58905
-3.0,3,0.591227
-30.029982,56,0.623479
-5.341316,7,0.628103
10.828333,3,0.630494
-4.341316,6,0.634576
-3.0,4,0.637429
-75.029982,100,0.693917
-75.029982,100,0.750453
-2.0,3,0.752758
-18.029982,44,0.786156
6.828333,7,0.790849
15.970018,10,0.797496
10.828333,3,0.799884
-1.341316,3,0.80224
-100.0,100,0.859303
19.970018,5,0.862864
-100.0,100,0.919991
-12.341316,14,0.928667
10.828333,3,0.9311
-75.029982,100,0.988349
19.970018,6,0.992746
-10.341316,12,1.000265
-62.726325,100,1.056875
2.970018,23,1.070651
-5.0,5,1.073915
-100.0,100,1.131041
13.970018,12,1.138719
-100.0,100,1.195468
9.828333,4,1.198445
-9.341316,11,2.050695
-100.0,100,2.108402
-7.341316,9,2.114177
-75.029982,100,2.170985
-100.0,100,2.228226
10.828333,3,2.230683
-4.0,4,2.233449
10.828333,3,2.235863
-100.0,100,2.293167
-23.341316,25,2.308501
7.828333,6,2.312644
-7.0,8,2.317836
-100.0,100,2.375041
-75.029982,100,2.432436
-2.341316,4,2.435406
-100.0,100,2.492491
-100.0,100,2.549544
-100.0,100,2.606879
9.828333,4,2.609903
-62.726325,100,2.667196
9.828333,4,2.67019
-75.029982,100,2.727466
-1.341316,3,2.729858
-100.0,100,2.787017
-62.726325,100,2.853117
-75.029982,100,2.910565
-100.0,100,2.967554
10.828333,3,2.970008
-62.726325,100,3.02717
-100.0,100,3.084181
-100.0,100,3.141016
8.828333,5,3.144604
-62.726325,100,3.201596
-100.0,100,4.067052
10.828333,3,4.069613
-75.029982,100,4.128603
-3.341316,5,4.132254
-62.726325,100,4.19084
-75.029982,100,4.249676
-3.0,3,4.25192
-1.029982,27,4.268528
-62.726325,100,4.327525
10.828333,3,4.329998
-62.726325,100,4.388387
-3.0,3,4.39064
-100.0,100,4.451198
-75.029982,100,4.514901
-3.0,3,4.517337
-25.029982,51,4.547361
9.828333,4,4.550341
-100.0,100,4.641939
-98.341316,100,4.690135
-100.0,100,4.738165
-100.0,100,4.786184
-100.0,100,4.834264
-62.726325,100,4.900727
10.828333,3,4.903309
-10.341316,12,4.910923
-100.0,100,4.968575
-100.0,100,5.026668
-28.029982,53,5.060297
9.828333,4,5.063423
-100.0,100,5.122871
-75.029982,100,5.182178
-62.726325,100,5.241381
10.828333,3,5.243975
1.970018,24,5.259107
-100.0,100,5.318032
-62.726325,100,5.377531
-75.029982,100,5.436919
-75.029982,100,5.496313
9.828333,4,5.499488
-100.0,100,6.434175
-62.726325,100,6.493655
10.828333,3,6.496324
10.828333,3,6.498838
-6.341316,8,6.504231
-100.0,100,6.56304
-3.341316,5,6.567106
18.970018,7,6.572376
10.828333,3,6.576695
-100.0,100,6.637565
-100.0,100,6.698776
-62.726325,100,6.762135
-100.0,100,6.821177
-62.726325,100,6.880002
-62.726325,100,6.93905
-62.726325,100,6.997745
-4.0,4,7.000739
-4.341316,6,7.005003
-100.0,100,7.063495
-3.341316,5,7.067249
9.828333,4,7.070329
-100.0,100,7.129523
10.828333,3,7.132186
13.970018,12,7.140152
-2.341316,4,7.143243
-1.341316,3,7.145721
-75.029982,100,7.204489
-100.0,100,7.263128
-100.0,100,7.331324
-62.726325,100,7.390427
-62.726325,100,7.449409
9.828333,4,7.452556
21.970018,4,7.455819
-62.726325,100,7.514986
-62.726325,100,7.572448
-100.0,100,7.629291
8.828333,5,7.63299
21.970018,4,7.636121
-75.029982,100,8.537459
-100.0,100,8.598228
-75.029982,100,8.658465
-100.0,100,8.717849
10.828333,3,8.720512
21.970018,4,8.723771
10.828333,3,8.726253
-1.341316,3,8.72874
-100.0,100,8.787965
-7.341316,9,8.794121
-100.0,100,8.85353
10.828333,3,8.856185
9.828333,4,8.859354
-100.0,100,8.921651
21.970018,4,8.929839
-3.341316,5,8.933689
10.828333,3,8.936405
19.970018,6,8.941041
-1.341316,3,8.943656
-62.726325,100,9.00646
10.828333,3,9.009128
-100.0,100,9.071874
-6.341316,8,9.077593
-62.726325,100,9.137702
-62.726325,100,9.196467
-2.341316,4,9.199717
9.828333,4,9.202777
-75.029982,100,9.261627
-4.341316,6,9.266027
-100.0,100,9.324656
20.970018,5,9.328502
10.828333,3,9.330972
-75.029982,100,9.390058
-100.0,100,9.448948
-62.726325,100,9.507958
9.828333,4,9.511112
-100.0,100,9.569695
10.828333,3,9.572225
10.828333,3,9.574694
-100.0,100,9.640224
-98.341316,100,9.689039
-100.0,100,9.737964
10.828333,3,9.740014
-100.0,100,9.788638
-100.0,100,9.856533
-100.0,100,9.915347
10.828333,3,9.917839
-7.341316,9,9.923623
-62.726325,100,10.836785
-2.341316,4,10.840348
-3.0,3,10.842638
-75.029982,100,10.901146
-10.341316,12,10.909003
-62.726325,100,10.967979
-100.0,100,11.02645
-62.726325,100,11.084794
-75.029982,100,11.143284
-100.0,100,11.201725
-3.341316,5,11.205424
-75.029982,100,11.264332
20.970018,5,11.268201
-62.726325,100,11.326433
-100.0,100,11.38477
-100.0,100,11.442983
-100.0,100,11.50155
-62.726325,100,11.559802
10.828333,3,11.562311
-62.726325,100,11.620628
-100.0,100,11.678818
-100.0,100,11.737035
-4.341316,6,11.741371
21.970018,4,11.744525
-2.0,3,11.746883
-100.0,100,11.805499
9.828333,4,11.819643
-3.341316,5,11.8233
-100.0,100,11.881618
-100.0,100,11.94015
-62.726325,100,11.998579
10.828333,3,12.001151
-13.341316,15,12.010589
-75.029982,100,12.923775
10.828333,3,12.926319
10.828333,3,12.928741
-5.341316,7,12.933402
9.828333,4,12.93638
-2.341316,4,12.93935
-100.0,100,12.996139
9.828333,4,12.999128
-100.0,100,13.056484
21.970018,4,13.059595
-100.0,100,13.116211
-100.0,100,13.173793
-62.726325,100,13.231227
21.970018,4,13.234484
10.828333,3,13.236905
9.828333,4,13.239891
10.828333,3,13.242286
10.828333,3,13.244725
-62.726325,100,13.302162
-75.029982,100,13.359658
-1.341316,3,13.362092
20.970018,5,13.365754
-100.0,100,13.423196
-100.0,100,13.480731
-100.0,100,13.538229
-100.0,100,13.595432
-75.029982,100,13.652755
-100.0,100,13.709663
-100.0,100,13.766863
-62.726325,100,13.832904
-100.0,100,13.890419
-75.029982,100,13.947975
9.828333,4,13.950973
-62.726325,100,14.00809
-100.0,100,14.892904
21.970018,4,14.896516
-62.726325,100,14.955626
33.761943,3,14.95795
-100.0,100,15.018073
-100.0,100,15.077333
10.828333,3,15.07989
-100.0,100,15.138856
-2.0,3,15.141251
-100.0,100,15.199149
-3.0,3,15.201343
-1.341316,3,15.203734
-100.0,100,15.26061
-4.341316,6,15.264792
9.828333,4,15.267767
-100.0,100,15.335862
-98.341316,100,15.383184
-62.726325,100,15.430225
10.828333,3,15.432144
10.828333,3,15.434033
9.828333,4,15.445451
10.828333,3,15.447909
-62.726325,100,15.50535
-62.726325,100,15.5632
-100.0,100,15.620298
10.828333,3,15.622749
-100.0,100,15.679829
-100.0,100,15.737021
21.970018,4,15.74014
21.970018,4,15.743242
-100.0,100,15.800331
20.970018,5,15.804092
-62.726325,100,15.862764
21.970018,3,15.865411
-75.029982,100,15.924791
-100.0,100,15.988259
-62.726325,100,16.046879
-62.726325,100,16.105613
10.828333,3,16.108093
9.828333,4,16.11115
21.970018,4,16.114323
-62.726325,100,16.174191
-100.0,100,16.233217
-62.726325,100,17.128858
10.828333,3,17.131397
10.828333,3,17.133808
9.828333,4,17.136805
9.828333,4,17.139796
-4.341316,6,17.144209
-75.029982,100,17.20196
10.828333,3,17.204379
-100.0,100,17.261597
20.970018,4,17.264575
-100.0,100,17.321753
-100.0,100,17.379193
10.828333,3,17.381615
10.828333,3,17.38405
-62.726325,100,17.441195
-75.029982,100,17.498075
10.828333,3,17.500482
10.828333,3,17.502888
-100.0,100,17.559855
-100.0,100,17.617141
21.970018,3,17.619528
10.828333,3,17.627152
-1.341316,3,17.629558
10.828333,3,17.631967
10.828333,3,17.634371
-62.726325,100,17.691084
-100.0,100,17.747459
69.035618,5,17.750914
-2.341316,4,17.753886
-75.029982,100,17.810748
-2.341316,4,17.813714
33.761943,3,17.815979
10.828333,3,17.818377
-62.726325,100,17.874845
21.970018,3,17.877261
9.828333,4,17.880362
68.035618,6,17.886027
-100.0,100,17.942521
10.828333,3,17.944964
-75.029982,100,18.001509
10.828333,3,18.003907
10.828333,3,18.006285
-2.341316,4,18.00922
-2.341316,4,18.012146
-75.029982,100,18.069329
68.035618,6,18.073332
-62.726325,100,18.129859
-100.0,100,18.186204
10.828333,3,18.188612
10.828333,3,18.191005
9.828333,4,18.193946
-100.0,100,18.250475
10.828333,3,18.252865
-2.341316,4,18.255796
-75.029982,100,19.138005
-62.726325,100,19.196522
10.828333,3,19.199033
-62.726325,100,19.257242
56.035618,18,19.268219
58.035618,16,19.27803
-1.341316,3,19.280469
-1.341316,3,19.282908
10.828333,3,19.285469
-1.341316,3,19.287865
9.828333,4,19.290873
-100.0,100,19.348451
-100.0,100,19.406055
-100.0,100,19.463112
-100.0,100,19.520737
9.828333,4,19.52381
-100.0,100,19.582201
-2.341316,4,19.585586
-3.0,3,19.58805
-100.0,100,19.648571
-100.0,100,19.710616
10.828333,3,19.713236
-75.029982,100,19.775397
67.035618,7,19.780296
-100.0,100,19.841997
-75.029982,100,19.904593
68.035618,6,19.909031
67.035618,7,19.913926
-100.0,100,19.976018
-75.029982,100,20.037872
69.035618,5,20.049371
-62.726325,100,20.122667
-100.0,100,20.169626
-62.726325,100,20.217791
10.828333,3,20.21975
-100.0,100,20.267492
11.026422,3,20.271167
-1.341316,3,20.273569
-1.341316,3,20.275965
-62.726325,100,20.333526
9.828333,4,20.336524
-62.726325,100,20.393453
-100.0,100,20.450832
10.828333,3,20.45324
10.828333,3,20.45568
9.828333,4,20.458699
9.828333,4,20.461761
-100.0,100,20.519294
-100.0,100,21.393606
-100.0,100,21.450877
-100.0,100,21.507507
-100.0,100,21.56384
-1.341316,3,21.56626
-75.029982,100,21.625252
-100.0,100,21.684181
-62.726325,100,21.742518
10.828333,3,21.744978
-1.341316,3,21.747417
-100.0,100,21.805573
10.828333,3,21.808098
-75.029982,100,21.866385
-1.341316,3,21.868886
-1.341316,3,21.871311
9.828333,4,21.874337
-62.726325,100,21.932403
10.828333,3,21.934882
-100.0,100,21.992729
-75.029982,100,22.050922
10.828333,3,22.05336
-100.0,100,22.111158
-75.029982,100,22.175643
-62.726325,100,22.233563
-1.341316,3,22.236008
69.035618,5,22.239505
-4.0,4,22.242305
-62.726325,100,22.300163
-100.0,100,22.357816
-75.029982,100,22.415767
10.828333,3,22.418218
10.828333,3,22.420666
-62.726325,100,22.478602
10.828333,3,22.481051
-75.029982,100,22.539129
-83.0,83,23.423232
5.273675,32,23.442608
-22.0,22,23.455792
-25.726325,63,23.492959
-1.726325,39,23.516211
-6.0,6,23.520213
10.828333,3,23.522701
-28.726325,66,23.562007
57.035618,17,23.572484
-1.341316,3,23.574908
-40.0,40,23.598494
-1.341316,3,23.600933
-100.0,100,23.659759
10.828333,3,23.66223
27.273675,10,23.668583
10.828333,3,23.671071
10.828333,3,23.673513
10.828333,3,23.675953
9.828333,4,23.679018
-1.341316,3,23.681433
-53.0,53,23.712634
18.273675,19,23.724356
60.035618,14,23.733169
-75.029982,100,23.791645
-1.341316,3,23.794094
65.035618,9,23.799924
-1.341316,3,23.802386
-1.341316,3,23.80479
-23.0,23,23.818546
-1.341316,3,23.820994
-24.0,24,23.835347
21.273675,16,23.845116
10.828333,3,23.847558
-29.726325,67,23.886866
-1.341316,3,23.889321
-76.0,76,23.933888
-100.0,100,23.991509
-1.341316,3,23.993921
5.273675,32,24.012846
-75.029982,100,24.070945
-1.341316,3,24.073368
-75.029982,100,24.131244
10.828333,3,24.133685
10.828333,3,24.136141
-75.029982,100,24.194078
40.035618,34,24.214265
-40.0,40,24.237749
-92.0,92,24.291161
10.828333,3,24.293602
-25.0,25,24.308511
10.828333,3,24.310961
-75.029982,100,24.373985
20.273675,17,24.384443
-1.341316,3,24.386846
