#{"t_start": 1745976780.8075979, "env_id": "None"}
r,l,t
19.632814,3,0.040798
-3.366916,6,0.045289
49.246545,3,0.047646
49.434057,3,0.049977
-1.366916,4,0.05307
33.821174,3,0.055456
47.043344,3,0.05783
40.457425,3,0.060163
75.840778,3,0.062475
33.821174,3,0.064841
33.821174,3,0.06723
14.755139,3,0.069527
33.821174,3,0.071895
46.043344,4,0.074783
-1.358007,3,0.077188
-98.358007,100,0.134654
33.821174,3,0.1389
18.006264,3,0.141202
61.599904,3,0.143492
29.06386,3,0.145822
75.840778,3,0.148161
-5.0,6,0.152178
49.434057,3,0.15448
40.457425,3,0.156772
-2.0,3,0.159091
-3.0,4,0.162002
29.06386,3,0.164228
61.599904,3,0.166518
36.975362,3,0.168816
27.06386,5,0.172197
40.457425,3,0.174496
47.043344,3,0.176832
49.434057,3,0.179138
47.043344,3,0.181432
16.244736,3,0.183865
14.755139,3,0.186145
-2.358007,4,0.189091
-2.0,3,0.191409
-2.358007,4,0.194393
21.175631,5,0.197773
33.821174,3,0.20015
21.175631,5,0.20352
75.840778,3,0.20583
49.434057,3,0.208142
-1.366916,3,0.210525
49.434057,3,0.212808
49.434057,3,0.215326
-2.0,3,0.217679
42.918971,3,0.219984
19.632814,3,0.222391
-1.366916,4,0.225513
25.916667,3,0.227832
14.755139,3,0.230262
40.457425,3,0.232579
22.258913,3,0.234852
42.918971,3,0.237192
47.043344,3,0.239489
-3.0,4,0.242407
-3.358007,5,0.246017
40.457425,3,0.248323
18.006264,3,0.250741
-3.366916,5,0.254359
18.006264,3,0.256706
40.457425,3,0.259039
40.457425,3,0.261423
-2.366916,4,0.264507
18.936224,3,0.266873
14.755139,3,0.269181
19.632814,3,0.271582
-2.366916,5,0.27529
29.06386,3,0.277586
40.457425,3,0.279924
-1.358007,3,0.282336
33.821174,3,0.284807
18.006264,3,0.287124
33.821174,3,0.289509
18.632814,4,0.292503
25.916667,3,0.294864
40.457425,3,0.297307
33.821174,3,0.299919
-1.366916,3,0.302385
42.918971,3,0.304747
-1.366916,3,0.307248
-2.0,3,0.309666
18.006264,3,0.312049
47.043344,3,0.314473
-3.366916,6,0.318866
75.840778,3,0.321394
40.457425,3,0.323858
19.632814,3,0.326508
42.918971,3,0.328999
17.006264,4,0.332171
25.916667,3,0.334755
29.06386,3,0.337233
18.936224,3,0.339736
19.632814,3,0.342227
23.175631,3,0.344512
33.821174,3,0.346998
33.821174,3,0.349438
16.244736,3,0.351753
-1.366916,3,0.354163
40.457425,3,0.356503
33.821174,3,0.35887
-2.366916,5,0.362609
33.821174,3,0.365051
49.434057,3,0.367356
33.821174,3,0.369756
-2.366916,5,0.37341
33.821174,3,0.375781
49.434057,3,0.380711
40.457425,3,0.383031
19.632814,3,0.385503
-98.358007,100,0.443538
16.244736,3,0.445915
-2.358007,4,0.448995
47.043344,3,0.451326
29.06386,3,0.453606
14.755139,3,0.455913
47.043344,3,0.458248
40.457425,3,0.460565
40.457425,3,0.462942
22.258913,3,0.465217
33.821174,3,0.467589
25.916667,3,0.470001
49.434057,3,0.472314
33.821174,3,0.474696
18.006264,3,0.477125
40.457425,3,0.479434
61.599904,3,0.481833
33.821174,3,0.485091
40.457425,3,0.487437
-3.366916,6,0.491708
-97.185039,100,0.549352
-2.0,3,0.551708
75.840778,3,0.554043
33.821174,3,0.556413
