#{"t_start": 1745976688.33058, "env_id": "None"}
r,l,t
-100.0,100,0.073465
-1.0,2,0.075308
-1.0,2,0.077067
-100.0,100,0.137796
-100.0,100,0.195754
-1.0,2,0.197549
-5.0,6,0.20164
-1.0,2,0.203432
-1.0,2,0.205188
-1.0,2,0.206983
-100.0,100,0.265291
-100.0,100,0.323514
-1.0,2,0.325311
-3.0,4,0.328425
-100.0,100,0.386686
-100.0,100,0.444904
-3.0,4,0.447863
-100.0,100,0.506026
-5.0,6,0.510153
-1.0,2,0.511955
-1.0,2,0.51375
-100.0,100,0.571945
-100.0,100,0.630248
-1.0,2,0.632047
-100.0,100,0.690134
-100.0,100,0.753712
-1.0,2,0.75581
13.274032,2,0.757493
-6.0,7,0.76223
-4.0,5,0.765785
-100.0,100,0.82411
-100.0,100,0.882265
-1.0,2,0.884058
-1.0,2,0.885833
-1.0,2,0.887602
13.274032,2,0.889269
-1.0,2,0.891051
-100.0,100,0.949009
-100.0,100,1.007641
-100.0,100,1.065784
-1.0,2,1.067586
-100.0,100,1.125455
-100.0,100,1.183384
-1.0,2,1.185184
-4.0,5,1.188712
-100.0,100,2.1075
-4.0,5,2.111161
-100.0,100,2.169854
-2.0,3,2.172239
-100.0,100,2.230739
6.897632,2,2.232604
-8.0,9,2.238517
-100.0,100,2.296994
-2.0,3,2.299402
-100.0,100,2.357998
-1.0,2,2.359794
-100.0,100,2.417832
-2.0,3,2.420211
-1.0,2,2.421997
-100.0,100,2.48047
-100.0,100,2.538707
-2.0,3,2.54107
13.274032,2,2.542807
-1.0,2,2.544566
-8.0,9,2.550579
-1.0,2,2.552337
-1.0,2,2.554109
-100.0,100,2.612246
-100.0,100,2.670911
-1.0,2,2.672691
-100.0,100,2.730933
-3.0,4,2.733928
-1.0,2,2.735735
6.688612,2,2.737438
-1.0,2,2.739226
-100.0,100,2.797732
-100.0,100,2.859235
-100.0,100,2.915696
-1.0,2,2.917454
-100.0,100,2.973827
-100.0,100,3.030225
-1.0,2,3.031978
-100.0,100,3.088315
-100.0,100,3.144696
-1.0,2,3.146441
-100.0,100,3.203255
-100.0,100,3.262283
-100.0,100,4.154673
13.274032,2,4.156416
-2.0,3,4.158761
-100.0,100,4.215345
-1.0,2,4.217098
-2.0,3,4.219441
-100.0,100,4.276157
-1.0,2,4.277909
-2.0,3,4.280231
-1.0,2,4.281981
-1.0,2,4.283723
-1.0,2,4.285453
19.96604,2,4.287094
-1.0,2,4.288806
-100.0,100,4.34618
-100.0,100,4.403139
-1.0,2,4.404909
19.96604,2,4.406569
-3.0,4,4.409448
-1.0,2,4.411197
-1.0,2,4.412929
-1.0,2,4.414665
-4.0,5,4.419713
-100.0,100,4.476737
-100.0,100,4.533763
-100.0,100,4.590806
-4.0,5,4.59427
-100.0,100,4.651562
-1.0,2,4.653341
-6.0,7,4.657935
-100.0,100,4.707354
-100.0,100,4.754585
-1.0,2,4.755949
-100.0,100,4.803093
-1.0,2,4.804451
-100.0,100,4.869535
-1.0,2,4.871327
-100.0,100,4.927889
-1.0,2,4.929643
-1.0,2,4.931407
-9.0,10,4.937707
-1.0,2,4.939456
-1.0,2,4.941843
-1.0,2,4.943585
-100.0,100,5.000156
-100.0,100,5.056746
-100.0,100,5.113599
-1.0,2,5.115379
-100.0,100,5.171934
-100.0,100,5.228951
-1.0,2,5.230718
-100.0,100,5.29118
-100.0,100,5.349905
-100.0,100,5.408697
6.897632,2,5.410489
-4.0,5,5.414108
-100.0,100,5.472532
-100.0,100,6.382602
-1.0,2,6.384593
-1.0,2,6.386387
-100.0,100,6.445301
-1.0,2,6.447298
-1.0,2,6.450318
-1.0,2,6.452145
-4.0,5,6.455753
-1.0,2,6.457562
-100.0,100,6.518211
16.391905,2,6.520206
-100.0,100,6.582681
-1.0,2,6.584678
-2.0,3,6.587197
-100.0,100,6.650199
-1.0,2,6.652195
-100.0,100,6.714685
-1.0,2,6.716602
-1.0,2,6.718516
-1.0,2,6.720378
-100.0,100,6.782711
-1.0,2,6.784662
-1.0,2,6.786767
-1.0,2,6.78864
-100.0,100,6.846968
-100.0,100,6.903769
-100.0,100,6.960393
-100.0,100,7.018356
-2.0,3,7.020755
-1.0,2,7.027228
-1.0,2,7.02901
-1.0,2,7.030828
-1.0,2,7.032571
-1.0,2,7.034349
18.286108,2,7.03605
-100.0,100,7.094504
15.648625,2,7.096323
-1.0,2,7.09811
-100.0,100,7.157225
-100.0,100,7.215653
6.897632,2,7.21738
-1.0,2,7.219155
-5.0,6,7.223296
-1.0,2,7.225091
-1.0,2,7.226868
-1.0,2,7.228627
-1.0,2,7.230405
-5.0,6,7.234591
-1.0,2,7.236349
-1.0,2,7.238146
-1.0,2,7.239936
-100.0,100,7.298374
-1.0,2,7.300165
-1.0,2,7.302147
-100.0,100,7.360598
-1.0,2,7.36239
-1.0,2,7.364187
-100.0,100,7.424471
-100.0,100,7.482705
-100.0,100,7.541086
-2.0,3,7.543466
-100.0,100,8.432732
-100.0,100,8.491704
-100.0,100,8.550711
-1.0,2,8.552572
-1.0,2,8.554362
6.897632,2,8.556082
6.897632,2,8.557767
-3.0,4,8.560744
-1.0,2,8.562559
-1.0,2,8.564335
-1.0,2,8.566144
-100.0,100,8.624789
16.391905,2,8.626527
-100.0,100,8.685352
-100.0,100,8.744016
-1.0,2,8.745833
-1.0,2,8.747628
-100.0,100,8.806008
13.274032,2,8.807782
-100.0,100,8.866417
-100.0,100,8.924604
-1.0,2,8.926409
-1.0,2,8.928196
-1.0,2,8.929952
-1.0,2,8.931741
-100.0,100,8.990664
-100.0,100,9.049097
-100.0,100,9.107387
-1.0,2,9.114932
-1.0,2,9.116714
-100.0,100,9.173875
-1.0,2,9.175673
-100.0,100,9.232687
-100.0,100,9.2899
-1.0,2,9.291692
-100.0,100,9.348982
-100.0,100,9.405989
-100.0,100,9.463131
-100.0,100,9.528888
-100.0,100,9.57601
-1.0,2,9.577415
-100.0,100,9.624547
-1.0,2,9.625918
-2.0,3,9.629631
-2.0,3,9.632009
-100.0,100,9.689206
16.391905,2,9.690911
-1.0,2,9.692654
-100.0,100,9.749774
-1.0,2,9.751553
-100.0,100,10.653645
-2.0,3,10.656153
-100.0,100,10.714164
-1.0,2,10.715941
-1.0,2,10.717695
13.274032,2,10.719373
-100.0,100,10.776853
-100.0,100,10.834257
13.274032,2,10.835949
-100.0,100,10.892996
-1.0,2,10.894787
-1.0,2,10.896532
-1.0,2,10.89828
-5.0,6,10.902323
-1.0,2,10.906628
-100.0,100,10.963579
-1.0,2,10.965346
-1.0,2,10.967107
-1.0,2,10.968846
-1.0,2,10.970595
-5.0,6,10.974649
-100.0,100,11.03172
-1.0,2,11.033506
19.96604,2,11.035179
-100.0,100,11.091905
-1.0,2,11.093661
-1.0,2,11.095414
-1.0,2,11.097145
-100.0,100,11.15458
-1.0,2,11.156318
-100.0,100,11.213037
-2.0,3,11.215384
-100.0,100,11.272425
-100.0,100,11.329252
-1.0,2,11.331031
-100.0,100,11.387957
-1.0,2,11.389702
-100.0,100,11.446718
-100.0,100,11.503495
19.96604,2,11.505165
-1.0,2,11.511942
-100.0,100,11.568911
-1.0,2,11.57075
